teks,amarah,antisipasi,menjijikkan,takut,sukacita,Cinta,optimisme,pesimisme,kesedihan,kejutan,memercayai
"Sesungguhnya Allah telah mendengar perkataan wanita yang memajukan gugatan kepada kamu tentang suaminya, dan mengadukan (halnya) kepada Allah.  Dan Allah mendengar soal jawab antara kamu berdua.  Sesungguhnya Allah Maha Mendengar lagi Maha Melihat.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Orang-orang yang men-ẓihār istrinya di antara kamu, (menganggap istrinya sebagai ibunya, padahal) tiadalah istri mereka itu ibu mereka.  Ibu-ibu mereka tidak lain hanyalah wanita yang melahirkan mereka.  Dan sesungguhnya mereka sungguh-sungguh mengucapkan suatu perkataan yang mungkar dan dusta.  Dan sesungguhnya Allah Maha Pemaaf lagi Maha Pengampun.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"Orang-orang yang men-ẓihār istri mereka, kemudian mereka hendak menarik kembali apa yang mereka ucapkan, maka (wajib atasnya) memerdekakan seorang budak sebelum kedua suami istri itu bercampur.  Demikianlah yang diajarkan kepada kamu, dan Allah Maha Mengetahui apa yang kamu kerjakan.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
"Barang siapa yang tidak mendapatkan (budak), maka (wajib atasnya) berpuasa dua bulan berturut-turut sebelum keduanya bercampur.  Maka siapa yang tidak kuasa (wajiblah atasnya) memberi makan enam puluh orang miskin.  Demikianlah supaya kamu beriman kepada Allah dan rasul-Nya.  Dan itulah hukum-hukum Allah, dan bagi orang-orang kafir ada siksaan yang sangat pedih.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Sesungguhnya orang-orang yang yang menentang Allah dan rasul-Nya pasti mendapat kehinaan sebagaimana orang-orang yang sebelum mereka telah mendapat kehinaan.  Sesungguhnya Kami telah menurunkan bukti-bukti nyata.  Dan bagi orang-orang kafir ada siksa yang menghinakan.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Pada hari ketika mereka dibangkitkan Allah semuanya, lalu diberitakan-Nya kepada mereka apa yang telah mereka kerjakan.  Allah mengumpulkan (mencatat) amal perbuatan itu, padahal mereka telah melupakannya.  Dan Allah Maha Menyaksikan segala sesuatu.",1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
"Tidakkah kamu perhatikan, bahwa sesungguhnya Allah mengetahui apa yang ada di langit dan apa yang ada di bumi? Tiada pembicaraan rahasia antara tiga orang, melainkan Dia-lah yang keempatnya.  Dan tiada (pembicaraan antara) lima orang, melainkan Dia-lah yang keenamnya.  Dan tiada (pula) pembicaraan antara (jumlah) yang kurang dari itu atau lebih banyak, melainkan Dia berada bersama mereka di mana pun mereka berada.  Kemudian Dia akan memberitakan kepada mereka pada hari kiamat apa yang telah mereka kerjakan.  Sesungguhnya Allah Maha mengetahui segala sesuatu.",0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
"Apakah tiada kamu perhatikan, orang-orang yang telah dilarang mengadakan pembicaraan rahasia, kemudian mereka kembali (mengerjakan) larangan itu dan mereka mengadakan pembicaraan rahasia untuk berbuat dosa, permusuhan, dan durhaka kepada rasul.  Dan apabila mereka datang kepadamu, mereka mengucapkan salam kepadamu dengan memberi salam yang bukan sebagai yang ditentukan Allah untukmu.  Dan mereka mengatakan kepada diri mereka sendiri, ""Mengapa Allah tidak menyiksa kita disebabkan apa yang kita katakan itu?"" Cukuplah bagi mereka Jahanam yang akan mereka masuki.  Dan neraka itu adalah seburuk-buruk tempat kembali.",0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
"Hai orang-orang beriman, apabila kamu mengadakan pembicaraan rahasia, janganlah kamu membicarakan tentang membuat dosa, permusuhan, dan durhaka kepada rasul.  Dan bicarakanlah tentang membuat kebajikan dan takwa.  Dan bertakwalah kepada Allah yang kepada-Nya kamu akan dikembalikan.",0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
"Sesungguhnya pembicaraan rahasia itu adalah dari setan, supaya orang-orang yang beriman itu berduka cita, sedang pembicaraan itu tiadalah memberi mudarat sedikit pun kepada mereka, kecuali dengan izin Allah dan kepada Allah-lah hendaknya orang-orang yang beriman bertawakal.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
