teks,amarah,antisipasi,menjijikkan,takut,sukacita,Cinta,optimisme,pesimisme,kesedihan,kejutan,memercayai
Senantiasa bertasbih kepada Allah apa yang di langit dan apa yang ada di bumi; hanya Allah-lah yang mempunyai semua kerajaan dan semua puji-pujian; dan Dia Maha Kuasa atas segala sesuatu.,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
"Dia-lah yang menciptakan kamu, maka di antara kamu ada yang kafir dan di antaramu ada yang beriman.  Dan Allah Maha Melihat apa yang kamu kerjakan.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Dia menciptakan langit dan bumi dengan (tujuan) yang benar, Dia membentuk rupamu dan dibaguskan-Nya rupamu itu, dan hanya kepada-Nya-lah kembali(mu).",0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
"Dia mengetahui apa yang ada di langit dan di bumi, dan mengetahui apa yang kamu rahasiakan dan yang kamu nyatakan.  Dan Allah Maha Mengetahui segala isi hati.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Apakah belum datang kepadamu (hai orang-orang kafir) berita orang-orang kafir dahulu? Maka mereka telah merasakan akibat yang buruk dari perbuatan mereka dan mereka memperoleh azab yang pedih.,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
"Yang demikian itu adalah karena sesungguhnya telah datang kepada mereka rasul-rasul mereka membawa keterangan-keterangan, lalu mereka berkata, ""Apakah manusia yang akan memberi petunjuk kepada kami?"" lalu mereka ingkar dan berpaling; dan Allah tidak memerlukan (mereka). Dan Allah Maha Kaya lagi Maha Terpuji.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
"Orang-orang yang kafir mengatakan, bahwa mereka sekali-kali tidak akan dibangkitkan. Katakanlah, ""tidak demikian, demi Tuhan-ku, benar-benar kamu akan dibangkitkan, kemudian akan diberitakan kepadamu apa yang telah kamu kerjakan"".  Yang demikian itu adalah mudah bagi Allah.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Maka berimanlah kamu kepada Allah dan rasul-Nya dan kepada cahaya (Al-Qur`ān) yang telah Kami turunkan.  Dan Allah Maha Mengetahui apa yang kamu kerjakan.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"(Ingatlah) hari (yang di waktu itu) Allah mengumpulkan kamu pada hari pengumpulan (untuk dihisab), itulah hari (waktu itu) ditampakkan kesalahan-kesalahan.  Dan barang siapa yang beriman kepada Allah dan mengerjakan amal saleh, niscaya Allah akan menghapus kesalahan-kesalahannya dan memasukkannya ke dalam surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya selama-lamanya.  Itulah keberuntungan yang besar.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
"Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itulah penghuni-penghuni neraka, mereka kekal di dalamnya.  Dan itulah seburuk-buruk tempat kembali.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
"Tidak ada suatu musibah pun yang menimpa seseorang kecuali dengan izin Allah; dan barang siapa yang beriman kepada Allah, niscaya Dia akan memberi petunjuk kepada hatinya.  Dan Allah Maha Mengetahui segala sesuatu.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Dan taatlah kepada Allah dan taatlah kepada rasul-Nya; jika kamu berpaling, sesungguhnya kewajiban rasul Kami hanyalah menyampaikan (amanat Allah) dengan terang.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
(Dia-lah) Allah tidak ada Tuhan (yang berhak disembah) selain Dia.  Dan hendaklah orang-orang mukmin bertawakal kepada Allah saja.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Hai orang-orang yang beriman, sesungguhnya di antara istri-istrimu dan anak-anakmu ada yang menjadi musuh bagimu, maka berhati-hatilah kamu terhadap mereka; dan jika kamu memaafkan dan tidak memarahi serta mengampuni (mereka), maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.",1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
"Sesungguhnya hartamu dan anak-anakmu hanyalah cobaan (bagimu), di sisi Allah-lah pahala yang besar.",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Maka bertakwalah kamu kepada Allah menurut kesanggupanmu dan dengarlah serta taatlah; dan nafkahkanlah nafkah yang baik untuk dirimu.  Dan barang siapa yang dipelihara dari kekikiran dirinya, maka mereka itulah orang-orang yang beruntung.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Jika kamu meminjamkan kepada Allah pinjaman yang baik, niscaya Allah melipat gandakan (pembalasannya) kepadamu dan mengampuni kamu.  Dan Allah Maha Pembalas Jasa lagi Maha Penyantun.",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Yang mengetahui yang gaib dan yang nyata.  Yang Maha Perkasa lagi Maha Bijaksana.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
