teks,amarah,antisipasi,menjijikkan,takut,sukacita,Cinta,optimisme,pesimisme,kesedihan,kejutan,memercayai
 Pernyataan kekebalan dari Allah dan Rasul-Nya bagi orang-orang musyrik yang telah kamu buat perjanjian dengannya.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
" Maka berjalanlah kamu di muka bumi selama empat bulan dan ketahuilah, bahwa kamu sekali-kali tidak akan dapat menggagalkan (kekuasaan Allah), dan bahwa Allah akan menghinakan orang-orang kafir.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Dan suatu pernyataan dari Allah dan Rasul-Nya kepada manusia pada hari haji besar, bahwa Allah dan Rasul-Nya telah bertaubat dari orang-orang musyrik. Maka jika kamu bertaubat, maka itu lebih baik bagimu; dan jika kamu berpaling, maka ketahuilah bahwa kamu tidak dapat mengingkari Allah. Dan sampaikanlah berita kepada orang-orang kafir tentang azab yang pedih.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
" Kecuali orang-orang musyrik yang telah kamu buat perjanjian dengannya, kemudian mereka tidak mengecewakanmu sedikit pun dan tidak pula membantu seorang pun yang menentangmu. Maka penuhilah perjanjian mereka dengan mereka hingga berakhir. Sesungguhnya Allah mencintai orang-orang yang bertakwa.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Maka apabila telah berlalu bulan-bulan haram, maka bunuhlah orang-orang musyrik di mana saja kamu jumpai mereka, tangkaplah mereka, kepunglah mereka, dan intailah mereka di setiap tempat penyergapan. Tetapi jika mereka bertobat, mendirikan salat, dan menunaikan zakat, maka biarkanlah mereka melanjutkan perjalanan mereka. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
" Dan jika salah seorang di antara orang-orang musyrik itu meminta perlindungan kepadamu, maka lindungilah dia agar dia dapat mendengar firman Allah, dan antarlah dia ke tempat yang aman. Yang demikian itu adalah karena mereka adalah kaum yang tidak mengetahui.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Bagaimana mungkin orang-orang musyrik dapat membuat perjanjian dengan Allah dan Rasul-Nya, kecuali dengan orang-orang yang telah kamu buat perjanjian dengannya di Masjidil Haram? Maka selama mereka berlaku jujur kepadamu, maka berlakulah adil pulalah terhadap mereka. Sesungguhnya Allah mencintai orang-orang yang bertakwa.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
" Bagaimana mungkin ada sesuatu, sementara jika mereka menguasai kamu, mereka tidak menepati perjanjian atau ikatan kekerabatan apa pun denganmu. Mereka memuaskanmu dengan mulut mereka, tetapi hati mereka menolak, dan kebanyakan mereka adalah orang-orang fasik.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
" Mereka telah menukar ayat-ayat Allah dengan harga yang murah dan menghalangi manusia dari jalan-Nya. Sesungguhnya, amat buruk apa yang telah mereka kerjakan.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Mereka tidak memelihara ikatan kekerabatan atau perjanjian apa pun terhadap orang mukmin. Dan mereka itulah orang-orang yang fasik.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
" Tetapi jika mereka bertobat, mendirikan salat, dan menunaikan zakat, maka mereka adalah saudara-saudaramu seiman. Dan Kami jelaskan ayat-ayat itu kepada kaum yang mengetahui.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
" Tetapi jika mereka mengingkari sumpah mereka setelah perjanjian mereka dan menyerang agamamu, maka perangilah pemimpin-pemimpin orang kafir itu. Sesungguhnya, tidak ada sumpah bagi mereka. Mudah-mudahan mereka berhenti.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
"Mengapa kamu tidak memerangi kaum yang telah melanggar sumpah mereka dan bermaksud mengusir Rasul, padahal mereka telah memulai (penyerangan) terhadapmu sejak pertama kali? Apakah kamu takut kepada mereka? Padahal Allah lebih berhak atas kamu untuk bertakwa kepada-Nya, jika kamu orang-orang yang beriman.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
" Perangilah mereka, niscaya Allah akan menyiksa mereka dengan tanganmu, menghinakan mereka, dan memberimu kemenangan atas mereka, serta melegakan hati orang-orang yang beriman.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
 Dan Dia menghilangkan kemarahan dari hati mereka. Dan Allah mengampuni siapa yang Dia kehendaki. Dan Allah Maha Mengetahui lagi Maha Bijaksana.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Atau apakah kamu mengira bahwa kamu akan dibiarkan begitu saja, padahal Allah belum mengetahui orang-orang yang berjihad di antara kamu, dan mereka belum mengambil pelindung selain Allah, Rasul-Nya, dan orang-orang mukmin? Padahal Allah Maha Mengetahui apa yang kamu kerjakan.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
" Tidaklah pantas bagi orang-orang musyrik untuk memelihara masjid-masjid Allah, sementara mereka bersaksi atas kekafiran mereka sendiri. Sesungguhnya amal mereka telah sia-sia, dan mereka kekal di dalam api neraka.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
"Sesungguhnya yang dimuliakan masjid-masjid Allah adalah orang-orang yang beriman kepada Allah, hari kemudian, mendirikan shalat, menunaikan zakat dan tidak takut kepada selain kepada Allah. Mereka itulah orang-orang yang diharapkan termasuk orang-orang yang mendapat petunjuk.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
" Pernahkah engkau menganggap pemberian air kepada jamaah haji dan pemeliharaan Masjidil Haram sama dengan orang yang beriman kepada Allah, hari akhir, dan berjihad di jalan Allah? Mereka tidak sama di sisi Allah, dan Allah tidak memberi petunjuk kepada orang-orang yang zalim.",1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
"Orang-orang yang beriman, berhijrah, dan berjihad di jalan Allah dengan harta dan jiwa mereka, lebih besar derajatnya di sisi Allah. Dan mereka itulah orang-orang yang beruntung.",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
" Tuhan mereka menggembirakan mereka dengan memberikan rahmat dari-Nya, keridhaan-Nya, dan surga bagi mereka, di dalamnya ada keridhaan yang kekal.",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
" Mereka kekal di dalamnya. Sesungguhnya, di sisi Allah ada pahala yang besar.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Hai orang-orang yang beriman, janganlah kamu mengambil bapak-bapak dan saudara-saudaramu sebagai wali, jika mereka lebih mengutamakan kekufuran daripada keimanan. Dan barangsiapa di antara kamu mengambil mereka sebagai wali, maka mereka itulah orang-orang yang zalim.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Katakanlah, ""Jika bapak-bapakmu, anak-anakmu, saudara-saudaramu, istri-istrimu, keluargamu, harta kekayaan yang kamu usahakan, perdagangan yang kamu khawatirkan kerugiannya, dan rumah-rumah tempat tinggal yang kamu sukai, adalah lebih kamu cintai daripada Allah, Rasul-Nya, dan berjihad di jalan-Nya, maka tunggulah sampai Allah mendatangkan keputusan-Nya. Dan Allah tidak memberi petunjuk.""",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"Allah telah memberikan kemenangan kepadamu di banyak medan perang, dan juga pada perang Hunayn, ketika banyaknya jumlahmu itu menyenangkan hatimu, tetapi itu tidak memberi manfaat sedikit pun bagimu, dan bumi itu telah menjadi sempit bagimu, padahal bumi itu luas, kemudian kamu berbalik dan melarikan diri.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
" Kemudian Allah menurunkan ketenangan-Nya kepada Rasul-Nya dan kepada orang-orang yang beriman, dan menurunkan tentara yang tidak kamu lihat, dan Dia menyiksa orang-orang yang kafir. Itulah balasan bagi orang-orang kafir.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
" Kemudian setelah itu, Allah akan mengampuni siapa yang Dia kehendaki. Dan Allah Maha Pengampun lagi Maha Penyayang.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
