teks,amarah,antisipasi,menjijikkan,takut,sukacita,Cinta,optimisme,pesimisme,kesedihan,kejutan,memercayai
 Segala yang ada di langit dan di bumi bertasbih kepada Allah. Dia-lah Yang Maha Perkasa lagi Maha Bijaksana.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
" Kepunyaan-Nyalah kerajaan langit dan bumi. Dia menghidupkan dan mematikan, dan Dia Maha Kuasa atas segala sesuatu.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
" Dialah Yang Awal dan Yang Akhir, Yang Nyata dan Yang Tak Terbantahkan, dan Dia Maha Mengetahui segala sesuatu.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Dialah yang menciptakan langit dan bumi dalam enam masa, kemudian bersemayam di atas Arsy. Dia mengetahui apa yang masuk ke dalam bumi dan apa yang keluar darinya, apa yang turun dari langit dan apa yang naik padanya. Dan Dia besertamu di mana saja kamu berada. Dan Allah Maha Melihat apa yang kamu kerjakan.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
" Kepunyaan-Nya-lah kerajaan langit dan bumi, dan kepada Allah-lah dikembalikan segala urusan.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
 Dia memasukkan malam ke dalam siang dan memasukkan siang ke dalam malam. Dan Dia Maha Mengetahui apa yang ada dalam dada.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Berimanlah kepada Allah dan Rasul-Nya, dan infaqkanlah sebagian harta yang telah Dia jadikan pengganti bagimu. Dan orang-orang yang beriman dan menafkahkan harta mereka akan memperoleh pahala yang besar.",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
" Dan mengapa kamu tidak beriman kepada Allah, padahal Rasul telah mengajak kamu untuk beriman kepada Tuhanmu, padahal Dia telah mengambil perjanjianmu, jika kamu orang-orang yang beriman?",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
" Dialah yang menurunkan kepada hamba-Nya tanda-tanda yang nyata, agar Dia mengeluarkanmu dari kegelapan menuju cahaya. Dan sesungguhnya Allah Maha Pemurah lagi Maha Penyayang kepadamu.",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Dan apa sebabnya kamu tidak menafkahkan harta di jalan Allah, padahal kepunyaan Allah-lah warisan langit dan bumi? Tidaklah sama di antara kamu orang-orang yang menafkahkan harta sebelum perang dan berperang. Mereka itu lebih besar derajatnya daripada orang-orang yang menafkahkan harta sesudah perang dan berperang. Dan Allah telah menjanjikan yang terbaik bagi semuanya. Dan Allah Maha Mengetahui apa yang kamu kerjakan.",1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
" Siapakah yang mau meminjamkan kepada Allah pinjaman yang baik, lalu Allah melipatgandakan pinjaman itu untuknya dan baginya pahala yang mulia?",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Pada hari kamu melihat orang-orang mukmin laki-laki dan perempuan, cahaya mereka bersinar di hadapan mereka dan di sebelah kanan mereka, (itulah) kabar gembira bagimu pada hari ini: surga yang mengalir di bawahnya sungai-sungai, kamu kekal di dalamnya. Itulah kemenangan yang agung.",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
" Pada hari orang-orang munafik, laki-laki dan perempuan, berkata kepada orang-orang yang beriman, ""Tunggulah kami sebentar, agar kami dapat meminjam sebagian dari cahaya kalian."" Dikatakan, ""Kembalilah ke belakangmu dan carilah cahaya."" Kemudian dibangunkanlah di antara mereka sebuah dinding, di dalamnya terdapat rahmat dan di luarnya terdapat azab.",1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
"Mereka berseru kepada orang-orang kafir, “Bukankah kami dahulu bersama kamu?” Mereka menjawab, “Benar, tetapi kamu telah mencobai dirimu sendiri, menanti-nantikan, dan ragu-ragu, dan angan-anganmu itu telah menipu kamu, hingga datanglah keputusan Allah, lalu penipu itu menipu kamu tentang Allah.”",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
" Maka pada hari ini tidak akan diambil tebusan darimu dan tidak pula dari orang-orang kafir. Tempat berlindungmu adalah neraka. Neraka adalah pelindungmu, dan seburuk-buruk tempat kembali.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Bukankah telah datang waktunya bagi orang-orang yang beriman, bahwa hati mereka khusyuk mengingat Allah dan apa yang telah turun dari kebenaran, dan apakah mereka tidak seperti orang-orang yang telah diberi Kitab sebelumnya? Telah datang kepada mereka masa yang panjang, dan jadilah hati mereka keras, dan kebanyakan dari mereka orang-orang yang fasik.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
 Ketahuilah bahwa Allah menghidupkan bumi setelah matinya. Kami telah menjelaskan kepadamu tanda-tandanya agar kamu memahaminya.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
" Sesungguhnya orang-orang yang bersedekah, orang-orang yang bersedekah, dan meminjamkan kepada Allah pinjaman yang baik, niscaya akan dilipatgandakan bagi mereka, dan bagi mereka pahala yang mulia.",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
