verse_number,arab,king_fahd,kemenag,google_translate
1, إِنَّا فَتَحْنَا لَكَ فَتْحًا مُّبِينًا,"Sesungguhnya Kami telah memberikan kepadamu kemenangan yang nyata,","Sungguh, Kami telah memberikan kepadamu kemenangan yang nyata.",Kami membuka untuk Anda
2,لِّيَغْفِرَ لَكَ ٱللَّهُ مَا تَقَدَّمَ مِن ذَنۢبِكَ وَمَا تَأَخَّرَ وَيُتِمَّ نِعْمَتَهُۥ عَلَيْكَ وَيَهْدِيَكَ صِرَٰطًا مُّسْتَقِيمًا,"supaya Allah memberi ampunan kepadamu terhadap dosamu yang telah lalu dan yang akan datang serta menyempurnakan nikmat-Nya atasmu dan memimpin kamu kepada jalan yang lurus,","Agar Allah memberikan ampunan kepadamu (Muhammad) atas dosamu yang lalu dan yang akan datang, serta menyempurnakan nikmat-Nya atasmu dan menunjukimu ke jalan yang lurus,","Semoga Tuhan mengampuni Anda, apa yang Anda tawarkan berasal dari dosa Anda, dan apa yang Anda tunda, dan berkat -Nya dipenuhi pada Anda dan membimbing Anda."
3,وَيَنصُرَكَ ٱللَّهُ نَصْرًا عَزِيزًا,dan supaya Allah menolongmu dengan pertolongan yang kuat (banyak).,dan agar Allah menolongmu dengan pertolongan yang kuat (banyak).,"Dan Tuhan memberkati Anda, kemenangan sayang"
4,هُوَ ٱلَّذِىٓ أَنزَلَ ٱلسَّكِينَةَ فِى قُلُوبِ ٱلْمُؤْمِنِينَ لِيَزْدَادُوٓا۟ إِيمَـٰنًا مَّعَ إِيمَـٰنِهِمْ ۗ وَلِلَّهِ جُنُودُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ ۚ وَكَانَ ٱللَّهُ عَلِيمًا حَكِيمًا,"Dia-lah yang telah menurunkan ketenangan ke dalam hati orang-orang mukmin supaya keimanan mereka bertambah di samping keimanan mereka (yang telah ada).  Dan kepunyaan Allah-lah tentara langit dan bumi dan adalah Allah Maha Mengetahui lagi Maha Bijaksana, ","Dialah yang telah menurunkan ketenangan ke dalam hati orang-orang mukmin untuk menambah keimanan atas keimanan mereka (yang telah ada). Dan milik Allah lah bala tentara langit dan bumi, dan Allah Maha Mengetahui, Mahabijaksana,",Orang yang telah diturunkan dari hati orang -orang percaya untuk meningkatkan eman dan Tuhan adalah pengetahuan yang bijak
5,لِّيُدْخِلَ ٱلْمُؤْمِنِينَ وَٱلْمُؤْمِنَـٰتِ جَنَّـٰتٍ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَـٰرُ خَـٰلِدِينَ فِيهَا وَيُكَفِّرَ عَنْهُمْ سَيِّـَٔاتِهِمْ ۚ وَكَانَ ذَٰلِكَ عِندَ ٱللَّهِ فَوْزًا عَظِيمًا,"supaya Dia memasukkan orang-orang mukmin laki-laki dan perempuan ke dalam surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya dan supaya Dia menutupi kesalahan-kesalahan mereka.  Dan yang demikian itu adalah keberuntungan yang besar di sisi Allah,","Agar Dia masukkan orang-orang mukmin laki-laki dan perempuan ke dalam surga yang mengalir di bawahnya sungai-sungai. Mereka kekal di dalamnya dan Dia akan menghapus kesalahan-kesalahan mereka. Dan yang demikian itu menurut Allah suatu keuntungan yang besar,",Biarkan orang -orang percaya dan orang -orang percaya memasuki surga yang mengalir dari bawahnya ketika Tuhan itu hebat
6,وَيُعَذِّبَ ٱلْمُنَـٰفِقِينَ وَٱلْمُنَـٰفِقَـٰتِ وَٱلْمُشْرِكِينَ وَٱلْمُشْرِكَـٰتِ ٱلظَّآنِّينَ بِٱللَّهِ ظَنَّ ٱلسَّوْءِ ۚ عَلَيْهِمْ دَآئِرَةُ ٱلسَّوْءِ ۖ وَغَضِبَ ٱللَّهُ عَلَيْهِمْ وَلَعَنَهُمْ وَأَعَدَّ لَهُمْ جَهَنَّمَ ۖ وَسَآءَتْ مَصِيرًا,dan supaya Dia mengazab orang-orang munafik laki-laki dan perempuan dan orang-orang musyrik laki-laki dan perempuan yang mereka itu berprasangka buruk terhadap Allah.  Mereka akan mendapat giliran (kebinasaan) yang amat buruk dan Allah memurkai dan mengutuk mereka serta menyediakan bagi mereka neraka Jahanam.  Dan (neraka Jahanam) itulah sejahat-jahat tempat kembali.,"dan Dia mengazab orang-orang munafik laki-laki dan perempuan, dan (juga) orang-orang musyrik laki-laki dan perempuan yang berprasangka buruk terhadap Allah. Mereka akan mendapat giliran (azab) yang buruk, dan Allah murka kepada mereka dan mengutuk mereka, serta menyediakan neraka Jahanam bagi mereka. Dan (neraka Jahanam) itu seburuk-buruk tempat kembali.","Dan menyiksa orang -orang, orang -orang yang terpisah, mitra, pasangan, dan pasangan, umat Allah, umat Allah. Dan Tuhan marah kepada mereka dan mengutuk mereka, dan Dia mempersiapkan mereka neraka."
7,وَلِلَّهِ جُنُودُ ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ ۚ وَكَانَ ٱللَّهُ عَزِيزًا حَكِيمًا,Dan kepunyaan Allah-lah tentara langit dan bumi.  Dan adalah Allah Maha Perkasa lagi Maha Bijaksana.,"Dan milik Allah bala tentara langit dan bumi. Dan Allah Mahaperkasa, Mahabijaksana.",Dan kepada Tuhan para prajurit langit dan bumi ۚ dan Tuhan sangat bijak
8,إِنَّآ أَرْسَلْنَـٰكَ شَـٰهِدًا وَمُبَشِّرًا وَنَذِيرًا,"Sesungguhnya Kami mengutus kamu sebagai saksi, pembawa berita gembira, dan pemberi peringatan,","Sungguh, Kami mengutus engkau (Muhammad) sebagai saksi, pembawa berita gembira dan pemberi peringatan,","Saya mengirimkan kesengsaraan, khotbah dan peringatan"
9,لِّتُؤْمِنُوا۟ بِٱللَّهِ وَرَسُولِهِۦ وَتُعَزِّرُوهُ وَتُوَقِّرُوهُ وَتُسَبِّحُوهُ بُكْرَةً وَأَصِيلًا,"supaya kamu sekalian beriman kepada Allah dan rasul-Nya, menguatkan (agama)-Nya, membesarkan-Nya, dan bertasbih kepada-Nya di waktu pagi dan petang.","agar kamu semua beriman kepada Allah dan Rasul-Nya, menguatkan (agama)-Nya, membesarkan-Nya, dan bertasbih kepada-Nya pagi dan petang.",Biarkan mereka percaya pada Tuhan dan utusan -Nya
10,إِنَّ ٱلَّذِينَ يُبَايِعُونَكَ إِنَّمَا يُبَايِعُونَ ٱللَّهَ يَدُ ٱللَّهِ فَوْقَ أَيْدِيهِمْ ۚ فَمَن نَّكَثَ فَإِنَّمَا يَنكُثُ عَلَىٰ نَفْسِهِۦ ۖ وَمَنْ أَوْفَىٰ بِمَا عَـٰهَدَ عَلَيْهُ ٱللَّهَ فَسَيُؤْتِيهِ أَجْرًا عَظِيمًا,"Bahwasanya orang-orang yang berjanji setia kepada kamu sesungguhnya mereka berjanji setia kepada Allah.  Tangan Allah di atas tangan mereka, maka barang siapa yang melanggar janjinya, niscaya akibat ia melanggar janji itu akan menimpa dirinya sendiri dan barang siapa menepati janjinya kepada Allah maka Allah akan memberinya pahala yang besar.","Bahwa orang-orang yang berjanji setia kepadamu (Muhammad), sesungguhnya mereka hanya berjanji setia kepada Allah. Tangan Allah di atas tangan-tangan mereka, maka barangsiapa melanggar janji, maka sesungguhnya dia melanggar atas (janji) sendiri; dan barangsiapa menepati janjinya kepada Allah, maka Dia akan memberinya pahala yang besar.","Bagi mereka yang menjual Anda, tetapi mereka menjual Tuhan, tangan Tuhan, dan menurut tangan mereka ۚ jadi siapa pun yang tinggal, maka ia akan berakhir. Semoga Tuhan memberkatinya dan memberinya hadiah besar"
11,سَيَقُولُ لَكَ ٱلْمُخَلَّفُونَ مِنَ ٱلْأَعْرَابِ شَغَلَتْنَآ أَمْوَٰلُنَا وَأَهْلُونَا فَٱسْتَغْفِرْ لَنَا ۚ يَقُولُونَ بِأَلْسِنَتِهِم مَّا لَيْسَ فِى قُلُوبِهِمْ ۚ قُلْ فَمَن يَمْلِكُ لَكُم مِّنَ ٱللَّهِ شَيْـًٔا إِنْ أَرَادَ بِكُمْ ضَرًّا أَوْ أَرَادَ بِكُمْ نَفْعًۢا ۚ بَلْ كَانَ ٱللَّهُ بِمَا تَعْمَلُونَ خَبِيرًۢا,"Orang-orang Badui yang tertinggal (tidak turut ke ῌudaybiyyah) akan mengatakan, ""Harta dan keluarga kami telah merintangi kami, maka mohonkanlah ampunan untuk kami""; mereka mengucapkan dengan lidahnya apa yang tidak ada dalam hatinya.  Katakanlah, ""Maka siapakah (gerangan) yang dapat menghalang-halangi kehendak Allah jika Dia menghendaki kemudaratan bagimu atau jika Dia menghendaki manfaat bagimu.  Sebenarnya Allah Maha Mengetahui apa yang kamu kerjakan.","Orang-orang Badui yang tertinggal (tidak turut ke Hudaibiyah) akan berkata kepadamu, ""Kami telah disibukkan oleh harta dan keluarga kami, maka mohonkanlah ampunan untuk kami."" Mereka mengucapkan sesuatu dengan mulutnya apa yang tidak ada dalam hatinya. Katakanlah, ""Maka siapakah yang dapat menghalang-halangi kehendak Allah jika Dia menghendaki bencana terhadap kamu atau jika Dia menghendaki keuntungan bagimu? Sungguh, Allah Mahateliti dengan apa yang kamu kerjakan.""","Mereka akan memberi tahu Anda siapa penerus orang -orang Arab, kami telah bekerja sebagai ibu kami dan orang -orang kami, jadi cari pengampunan bagi kami ۚ Mereka mengatakan: ۚ Katakan: Siapa pun yang memiliki Anda dari Tuhan, sesuatu, jika dia ingin menyakiti Anda atau ingin Anda mendapat manfaat dari Anda."
