verse_number,arab,king_fahd,kemenag,google_translate
1, سُورَةٌ أَنزَلْنَـٰهَا وَفَرَضْنَـٰهَا وَأَنزَلْنَا فِيهَآ ءَايَـٰتٍۭ بَيِّنَـٰتٍ لَّعَلَّكُمْ تَذَكَّرُونَ,(Ini adalah) satu surah yang Kami turunkan dan Kami wajibkan (menjalankan hukum-hukum yang ada di dalam)nya dan Kami turunkan di dalamnya ayat-ayat yang jelas agar kamu selalu mengingatinya.,"(Inilah) suatu surah yang Kami turunkan dan Kami wajibkan (menjalankan hukum-hukumnya), dan Kami turunkan di dalamnya tanda-tanda (kebesaran Allah) yang jelas, agar kamu ingat.","Surahs, kami mendapatkannya, dan kami akan datang ke sana, dan kami telah datang ke sana."
2,ٱلزَّانِيَةُ وَٱلزَّانِى فَٱجْلِدُوا۟ كُلَّ وَٰحِدٍ مِّنْهُمَا مِا۟ئَةَ جَلْدَةٍ ۖ وَلَا تَأْخُذْكُم بِهِمَا رَأْفَةٌ فِى دِينِ ٱللَّهِ إِن كُنتُمْ تُؤْمِنُونَ بِٱللَّهِ وَٱلْيَوْمِ ٱلْـَٔاخِرِ ۖ وَلْيَشْهَدْ عَذَابَهُمَا طَآئِفَةٌ مِّنَ ٱلْمُؤْمِنِينَ,"Perempuan yang berzina dan laki-laki yang berzina, maka deralah tiap-tiap seorang dari keduanya seratus kali dera, dan janganlah belas kasihan kepada keduanya mencegah kamu untuk (menjalankan) agama Allah, jika kamu beriman kepada Allah dan hari akhirat dan hendaklah (pelaksanaan) hukuman mereka disaksikan oleh sekumpulan orang-orang yang beriman.","Pezina perempuan dan pezina laki-laki, deralah masing-masing dari keduanya seratus kali, dan janganlah rasa belas kasihan kepada keduanya mencegah kamu untuk (menjalankan) agama (hukum) Allah, jika kamu beriman kepada Allah dan hari kemudian; dan hendaklah (pelaksanaan) hukuman mereka disaksikan oleh sebagian orang-orang yang beriman.","Zaniyah dan Zani, sehingga mereka bisa jadi mereka semua, dan mereka sama. Dan pada hari itu"
3,ٱلزَّانِى لَا يَنكِحُ إِلَّا زَانِيَةً أَوْ مُشْرِكَةً وَٱلزَّانِيَةُ لَا يَنكِحُهَآ إِلَّا زَانٍ أَوْ مُشْرِكٌ ۚ وَحُرِّمَ ذَٰلِكَ عَلَى ٱلْمُؤْمِنِينَ,"Laki-laki yang berzina tidak mengawini, melainkan perempuan yang berzina atau perempuan yang musyrik dan perempuan yang berzina tidak dikawini, melainkan oleh laki-laki yang berzina atau laki-laki musyrik dan yang demikian itu diharamkan atas orang-orang yang mukmin .","Pezina laki-laki tidak boleh menikah kecuali dengan pezina perempuan, atau dengan perempuan musyrik; dan pezina perempuan tidak boleh menikah kecuali dengan pezina laki-laki atau dengan laki-laki musyrik; dan yang demikian itu diharamkan bagi orang-orang mukmin.","Para pezina tidak hanya menikah dengan dekorasi atau pasangan, dan pezina tidak menikah kecuali malas atau pasangan."
4,وَٱلَّذِينَ يَرْمُونَ ٱلْمُحْصَنَـٰتِ ثُمَّ لَمْ يَأْتُوا۟ بِأَرْبَعَةِ شُهَدَآءَ فَٱجْلِدُوهُمْ ثَمَـٰنِينَ جَلْدَةً وَلَا تَقْبَلُوا۟ لَهُمْ شَهَـٰدَةً أَبَدًا ۚ وَأُو۟لَـٰٓئِكَ هُمُ ٱلْفَـٰسِقُونَ,"Dan orang-orang yang menuduh wanita-wanita yang baik-baik  (berbuat zina) dan mereka tidak mendatangkan empat orang saksi, maka deralah mereka (yang menuduh itu) delapan puluh kali dera dan janganlah kamu terima kesaksian mereka buat selama-lamanya. Dan mereka itulah orang-orang yang fasik.","Dan orang-orang yang menuduh perempuan-perempuan yang baik (berzina) dan mereka tidak mendatangkan empat orang saksi, maka deralah mereka delapan puluh kali, dan janganlah kamu terima kesaksian mereka untuk selama-lamanya. Mereka itulah orang-orang yang fasik,","Dan mereka yang melemparkan yang dibentengi, maka mereka tidak datang dengan empat martir, jadi mereka akan diadili, maka mereka memalukan, dan mereka tidak akan datang kepada mereka. Dan itu adalah orang -orangnya"
5,إِلَّا ٱلَّذِينَ تَابُوا۟ مِنۢ بَعْدِ ذَٰلِكَ وَأَصْلَحُوا۟ فَإِنَّ ٱللَّهَ غَفُورٌ رَّحِيمٌ,"kecuali orang-orang yang bertobat sesudah itu dan memperbaiki (dirinya), maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.","kecuali mereka yang bertobat setelah itu dan memperbaiki (dirinya), maka sungguh, Allah Maha Pengampun, Maha Penyayang.",Kecuali mereka yang bertobat setelah itu
6,وَٱلَّذِينَ يَرْمُونَ أَزْوَٰجَهُمْ وَلَمْ يَكُن لَّهُمْ شُهَدَآءُ إِلَّآ أَنفُسُهُمْ فَشَهَـٰدَةُ أَحَدِهِمْ أَرْبَعُ شَهَـٰدَٰتٍۭ بِٱللَّهِ ۙ إِنَّهُۥ لَمِنَ ٱلصَّـٰدِقِينَ,"Dan orang-orang yang menuduh istrinya (berzina), padahal mereka tidak ada mempunyai saksi-saksi selain diri mereka sendiri, maka persaksian orang itu ialah empat kali bersumpah dengan nama Allah; sesungguhnya dia adalah termasuk orang-orang yang benar.","Dan orang-orang yang menuduh istrinya (berzina), padahal mereka tidak mempunyai saksi-saksi selain diri mereka sendiri, maka kesaksian masing-masing orang itu ialah empat kali bersumpah dengan (nama) Allah, bahwa sesungguhnya dia termasuk orang yang berkata benar.","Dan mereka yang melempar istri mereka, dan mereka belum mati syahid kecuali untuk diri mereka sendiri, jadi mereka terlihat, salah satunya adalah mereka berempat."
7,وَٱلْخَـٰمِسَةُ أَنَّ لَعْنَتَ ٱللَّهِ عَلَيْهِ إِن كَانَ مِنَ ٱلْكَـٰذِبِينَ,"Dan (sumpah) yang kelima bahwa laknat Allah atasnya, jika dia termasuk orang-orang yang berdusta .","Dan (sumpah) yang kelima bahwa laknat Allah akan menimpanya, jika dia termasuk orang yang berdusta.",Dan kebaikan bahwa Tuhan telah mengutuknya.
8,وَيَدْرَؤُا۟ عَنْهَا ٱلْعَذَابَ أَن تَشْهَدَ أَرْبَعَ شَهَـٰدَٰتٍۭ بِٱللَّهِ ۙ إِنَّهُۥ لَمِنَ ٱلْكَـٰذِبِينَ,Istrinya itu dihindarkan dari hukuman oleh sumpahnya empat kali atas nama Allah; sesungguhnya suaminya itu benar-benar termasuk orang-orang yang dusta.,"Dan istri itu terhindar dari hukuman apabila dia bersumpah empat kali atas (nama) Allah bahwa dia (suaminya) benar-benar termasuk orang-orang yang berdusta,",Dan mereka akan tersinggung oleh siksaan yang akan Anda bersaksi untuk empat martir
9,وَٱلْخَـٰمِسَةَ أَنَّ غَضَبَ ٱللَّهِ عَلَيْهَآ إِن كَانَ مِنَ ٱلصَّـٰدِقِينَ,"dan (sumpah) yang kelima bahwa laknat Allah atasnya, jika suaminya itu termasuk orang-orang yang benar.","dan (sumpah) yang kelima bahwa kemurkaan Allah akan menimpanya (istri), jika dia (suaminya) itu termasuk orang yang berkata benar.","Dan kebaikannya adalah bahwa kemarahan Allah ada di atasnya, jika itu adalah salah satu pencuri"
10,وَلَوْلَا فَضْلُ ٱللَّهِ عَلَيْكُمْ وَرَحْمَتُهُۥ وَأَنَّ ٱللَّهَ تَوَّابٌ حَكِيمٌ,"Dan andaikata tidak ada karunia Allah dan rahmat-Nya atas dirimu dan (andaikata) Allah bukan Penerima Tobat lagi Maha Bijaksana, (niscaya kamu akan mengalami kesulitan-kesulitan).","Dan sekiranya bukan karena karunia Allah dan rahmat-Nya kepadamu (niscaya kamu akan menemui kesulitan). Dan sesungguhnya Allah Maha Penerima Tobat, Mahabijaksana.","Dan jika saja yang terbaik dari Tuhan ada di atas Anda dan rahmat -Nya, dan bahwa Tuhan bijak dan bijak"
