verse_number,arab,king_fahd,kemenag,google_translate
1, يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تُقَدِّمُوا۟ بَيْنَ يَدَىِ ٱللَّهِ وَرَسُولِهِۦ ۖ وَٱتَّقُوا۟ ٱللَّهَ ۚ إِنَّ ٱللَّهَ سَمِيعٌ عَلِيمٌ,"Hai orang-orang yang beriman, janganlah kamu mendahului Allah dan rasulnya dan bertakwalah kepada Allah.  Sesungguhnya Allah Maha Mendengar lagi Maha Mengetahui.","Wahai orang-orang yang beriman! Janganlah kamu mendahului Allah dan Rasul-Nya, dan bertakwalah kepada Allah. Sungguh, Allah Maha Mendengar, Maha Mengetahui.","O, mereka yang percaya, tidak menawarkan antara tangan Allah dan utusan -Nya ۖ dan takut akan Tuhan ۚ Dia mendengar yang terbaik dari Tuhan"
2,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَرْفَعُوٓا۟ أَصْوَٰتَكُمْ فَوْقَ صَوْتِ ٱلنَّبِىِّ وَلَا تَجْهَرُوا۟ لَهُۥ بِٱلْقَوْلِ كَجَهْرِ بَعْضِكُمْ لِبَعْضٍ أَن تَحْبَطَ أَعْمَـٰلُكُمْ وَأَنتُمْ لَا تَشْعُرُونَ,"Hai orang-orang yang beriman, janganlah kamu meninggikan suaramu melebihi suara nabi, dan janganlah kamu berkata kepadanya dengan suara keras, sebagaimana kerasnya suara sebagian kamu terhadap sebagian yang lain, supaya tidak hapus (pahala) amalanmu sedangkan kamu tidak menyadari.","Wahai orang-orang yang beriman! Janganlah kamu meninggikan suaramu melebihi suara Nabi, dan janganlah kamu berkata kepadanya dengan suara keras sebagaimana kerasnya (suara) sebagian kamu terhadap yang lain, nanti (pahala) segala amalmu bisa terhapus sedangkan kamu tidak menyadari.","O, mereka yang percaya, tidak menaikkan suara Anda, sesuai dengan suara Nabi Anda mencintai Anda, dan Anda tidak merasa"
3,إِنَّ ٱلَّذِينَ يَغُضُّونَ أَصْوَٰتَهُمْ عِندَ رَسُولِ ٱللَّهِ أُو۟لَـٰٓئِكَ ٱلَّذِينَ ٱمْتَحَنَ ٱللَّهُ قُلُوبَهُمْ لِلتَّقْوَىٰ ۚ لَهُم مَّغْفِرَةٌ وَأَجْرٌ عَظِيمٌ,"Sesungguhnya orang yang merendahkan suaranya di sisi Rasulullah, mereka itulah orang-orang yang telah diuji hati mereka oleh Allah untuk bertakwa.  Bagi mereka ampunan dan pahala yang besar.","Sesungguhnya orang-orang yang merendahkan suaranya di sisi Rasulullah, mereka itulah orang-orang yang telah diuji hatinya oleh Allah untuk bertakwa. Mereka akan memperoleh ampunan dan pahala yang besar.","Bagi mereka yang membenci suara mereka dengan utusan Tuhan, atau mereka yang adalah mereka yang telah dipatahkan oleh Tuhan untuk hati mereka"
4,إِنَّ ٱلَّذِينَ يُنَادُونَكَ مِن وَرَآءِ ٱلْحُجُرَٰتِ أَكْثَرُهُمْ لَا يَعْقِلُونَ,Sesungguhnya orang-orang yang memanggil kamu dari luar kamar(mu) kebanyakan mereka tidak mengerti.,Sesungguhnya orang-orang yang memanggil engkau (Muhammad) dari luar kamar(mu) kebanyakan mereka tidak mengerti.,Mereka yang menelepon Anda dari ritual batu lebih banyak lagi
5,وَلَوْ أَنَّهُمْ صَبَرُوا۟ حَتَّىٰ تَخْرُجَ إِلَيْهِمْ لَكَانَ خَيْرًا لَّهُمْ ۚ وَٱللَّهُ غَفُورٌ رَّحِيمٌ,"Dan kalau sekiranya mereka bersabar sampai kamu keluar menemui mereka, sesungguhnya itu lebih baik bagi mereka, dan Allah Maha Pengampun lagi Maha Penyayang.","Dan sekiranya mereka bersabar sampai engkau keluar menemui mereka, tentu akan lebih baik bagi mereka. Dan Allah Maha Pengampun, Maha Penyayang.","Dan jika mereka sabar sampai mereka dibawa keluar kepada mereka, itu lebih baik bagi mereka ۚ dan Tuhan memaafkan, berbelas kasih."
6,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓا۟ إِن جَآءَكُمْ فَاسِقٌۢ بِنَبَإٍ فَتَبَيَّنُوٓا۟ أَن تُصِيبُوا۟ قَوْمًۢا بِجَهَـٰلَةٍ فَتُصْبِحُوا۟ عَلَىٰ مَا فَعَلْتُمْ نَـٰدِمِينَ,"Hai orang-orang yang beriman, jika datang kepadamu orang fasik membawa suatu berita, maka periksalah dengan teliti, agar kamu tidak menimpakan suatu musibah kepada suatu kaum tanpa mengetahui keadaannya yang menyebabkan kamu menyesal atas perbuatanmu itu.","Wahai orang-orang yang beriman! Jika seorang yang fasik datang kepadamu membawa suatu berita, maka telitilah kebenarannya, agar kamu tidak mencelakakan suatu kaum karena kebodohan (kecerobohan), yang akhirnya kamu menyesali perbuatanmu itu.","O, mereka yang aman untuk Anda, jika Anda mendatangi Anda, maka Anda akan melihat bahwa Anda akan menderita"
7,وَٱعْلَمُوٓا۟ أَنَّ فِيكُمْ رَسُولَ ٱللَّهِ ۚ لَوْ يُطِيعُكُمْ فِى كَثِيرٍ مِّنَ ٱلْأَمْرِ لَعَنِتُّمْ وَلَـٰكِنَّ ٱللَّهَ حَبَّبَ إِلَيْكُمُ ٱلْإِيمَـٰنَ وَزَيَّنَهُۥ فِى قُلُوبِكُمْ وَكَرَّهَ إِلَيْكُمُ ٱلْكُفْرَ وَٱلْفُسُوقَ وَٱلْعِصْيَانَ ۚ أُو۟لَـٰٓئِكَ هُمُ ٱلرَّٰشِدُونَ,"Dan ketahuilah olehmu bahwa di kalanganmu ada Rasulullah.  Kalau ia menuruti (kemauan) kamu dalam beberapa urusan, benar-benarlah kamu mendapat kesusahan, tetapi Allah menjadikan kamu cinta kepada keimanan dan menjadikan iman itu indah di dalam hatimu serta menjadikan kamu benci kepada kekafiran, kefasikan, dan kedurhakaan. Mereka itulah orang-orang yang mengikuti jalan yang lurus,","Dan ketahuilah bahwa di tengah-tengah kamu ada Rasulullah. Kalau dia menuruti (kemauan) kamu dalam banyak hal, pasti kamu akan mendapatkan kesusahan. Tetapi Allah menjadikan kamu cinta kepada keimanan, dan menjadikan (iman) itu indah dalam hatimu, serta menjadikan kamu benci kepada kekafiran, kefasikan dan kedurhakaan. Mereka itulah orang-orang yang mengikuti jalan yang lurus,","Dan ketahuilah bahwa Anda memiliki utusan Tuhan ۚ Jika dia menaati Anda dalam banyak hal, saya akan mengutuk Anda, dan untuk Anda, tetapi Tuhan, saya mencintaimu hati Anda dan menyangkal hal itu kepada Anda, Atone"
8,فَضْلًا مِّنَ ٱللَّهِ وَنِعْمَةً ۚ وَٱللَّهُ عَلِيمٌ حَكِيمٌ,sebagai karunia dan nikmat dari Allah.  Dan Allah Maha Mengetahui lagi Maha Bijaksana.,"sebagai karunia dan nikmat dari Allah. Dan Allah Maha Mengetahui, Mahabijaksana.",Fadah dari Tuhan dan berkah ۚ dan Tuhan adalah pengetahuan yang bijak
9,وَإِن طَآئِفَتَانِ مِنَ ٱلْمُؤْمِنِينَ ٱقْتَتَلُوا۟ فَأَصْلِحُوا۟ بَيْنَهُمَا ۖ فَإِنۢ بَغَتْ إِحْدَىٰهُمَا عَلَى ٱلْأُخْرَىٰ فَقَـٰتِلُوا۟ ٱلَّتِى تَبْغِى حَتَّىٰ تَفِىٓءَ إِلَىٰٓ أَمْرِ ٱللَّهِ ۚ فَإِن فَآءَتْ فَأَصْلِحُوا۟ بَيْنَهُمَا بِٱلْعَدْلِ وَأَقْسِطُوٓا۟ ۖ إِنَّ ٱللَّهَ يُحِبُّ ٱلْمُقْسِطِينَ,"Dan jika ada dua golongan dari orang-orang mukmin berperang maka damaikanlah antara keduanya.  Jika salah satu dari kedua golongan itu berbuat aniaya terhadap golongan yang lain, maka perangilah golongan yang berbuat aniaya itu sehingga golongan itu kembali kepada perintah Allah; jika golongan itu telah kembali (kepada perintah Allah), maka damaikanlah antara keduanya dengan adil dan berlaku adillah.  Sesungguhnya Allah menyukai orang-orang yang berlaku adil.","Dan apabila ada dua golongan orang mukmin berperang, maka damaikanlah antara keduanya. Jika salah satu dari keduanya berbuat zalim terhadap (golongan) yang lain, maka perangilah (golongan) yang berbuat zalim itu, sehingga golongan itu kembali kepada perintah Allah. Jika golongan itu telah kembali (kepada perintah Allah), maka damaikanlah antara keduanya dengan adil, dan berlakulah adil. Sungguh, Allah mencintai orang-orang yang berlaku adil.","Dan jika dua orang percaya, mereka telah mendatangi Anda, maka mereka didamaikan di antara mereka ۖ maka mengejutkan bahwa salah satu dari mereka ada di sisi lain sampai Anda memenuhi perintah Allah ۚ jika Anda, maka rekonsiliasi di antara mereka dengan keadilan, dan saya akan lebih dari mereka."
10,إِنَّمَا ٱلْمُؤْمِنُونَ إِخْوَةٌ فَأَصْلِحُوا۟ بَيْنَ أَخَوَيْكُمْ ۚ وَٱتَّقُوا۟ ٱللَّهَ لَعَلَّكُمْ تُرْحَمُونَ,Sesungguhnya orang-orang mukmin adalah bersaudara karena itu damaikanlah antara kedua saudaramu dan bertakwalah kepada Allah supaya kamu mendapat rahmat.,"Sesungguhnya orang-orang mukmin itu bersaudara, karena itu damaikanlah antara kedua saudaramu (yang berselisih) dan bertakwalah kepada Allah agar kamu mendapat rahmat.","Tetapi orang -orang percaya adalah saudara, jadi mereka berdamai di antara saudara -saudaramu dan takut pada Tuhan, agar kamu berbelas kasih"
