verse_number,arab,king_fahd,kemenag,google_translate
1, ٱلَّذِينَ كَفَرُوا۟ وَصَدُّوا۟ عَن سَبِيلِ ٱللَّهِ أَضَلَّ أَعْمَـٰلَهُمْ,"Orang-orang yang kafir dan menghalang-halangi (manusia) dari jalan Allah, Allah menghapus perbuatan-perbuatan mereka.","Orang-orang yang kafir dan menghalang-halangi (manusia) dari jalan Allah, maka Allah menghapus segala amal mereka.",Mereka yang tidak percaya dan mengusir jalan Tuhan
2,وَٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّـٰلِحَـٰتِ وَءَامَنُوا۟ بِمَا نُزِّلَ عَلَىٰ مُحَمَّدٍ وَهُوَ ٱلْحَقُّ مِن رَّبِّهِمْ ۙ كَفَّرَ عَنْهُمْ سَيِّـَٔاتِهِمْ وَأَصْلَحَ بَالَهُمْ,"Dan orang-orang yang beriman (kepada Allah) dan mengerjakan amal-amal yang saleh serta beriman (pula) kepada apa yang diturunkan kepada Muhammad dan itulah yang hak dari Tuhan mereka, Allah menghapuskan kesalahan-kesalahan mereka dan memperbaiki keadaan mereka.","Dan orang-orang yang beriman (kepada Allah) dan mengerjakan kebajikan serta beriman kepada apa yang diturunkan kepada Muhammad, dan itulah kebenaran dari Tuhan mereka; Allah menghapus kesalahan-kesalahan mereka, dan memperbaiki keadaan mereka.","Dan mereka yang percaya dan melakukan kebenaran, dan mereka tidak pergi ke Muhammad dan mereka pandai"
3,ذَٰلِكَ بِأَنَّ ٱلَّذِينَ كَفَرُوا۟ ٱتَّبَعُوا۟ ٱلْبَـٰطِلَ وَأَنَّ ٱلَّذِينَ ءَامَنُوا۟ ٱتَّبَعُوا۟ ٱلْحَقَّ مِن رَّبِّهِمْ ۚ كَذَٰلِكَ يَضْرِبُ ٱللَّهُ لِلنَّاسِ أَمْثَـٰلَهُمْ,Yang demikian adalah karena sesungguhnya orang-orang kafir mengikuti yang batil dan sesungguhnya orang-orang yang beriman mengikuti yang hak dari Tuhan mereka.  Demikianlah Allah membuat untuk manusia perbandingan-perbandingan bagi mereka.,"Yang demikian itu, karena sesungguhnya orang-orang kafir mengikuti yang batil (sesat), dan sesungguhnya orang-orang yang beriman mengikuti kebenaran dari Tuhan mereka. Demikianlah Allah membuat perumpamaan-perumpamaan bagi manusia.","Itu adalah mereka yang tidak percaya, mengikuti sapi itu saya mewakili mereka"
4,فَإِذَا لَقِيتُمُ ٱلَّذِينَ كَفَرُوا۟ فَضَرْبَ ٱلرِّقَابِ حَتَّىٰٓ إِذَآ أَثْخَنتُمُوهُمْ فَشُدُّوا۟ ٱلْوَثَاقَ فَإِمَّا مَنًّۢا بَعْدُ وَإِمَّا فِدَآءً حَتَّىٰ تَضَعَ ٱلْحَرْبُ أَوْزَارَهَا ۚ ذَٰلِكَ وَلَوْ يَشَآءُ ٱللَّهُ لَٱنتَصَرَ مِنْهُمْ وَلَـٰكِن لِّيَبْلُوَا۟ بَعْضَكُم بِبَعْضٍ ۗ وَٱلَّذِينَ قُتِلُوا۟ فِى سَبِيلِ ٱللَّهِ فَلَن يُضِلَّ أَعْمَـٰلَهُمْ,"Apabila kamu bertemu dengan orang-orang kafir (di medan perang) maka pancunglah batang leher mereka.  Sehingga apabila kamu telah mengalahkan mereka, maka tawanlah mereka dan sesudah itu kamu boleh membebaskan mereka atau menerima tebusan sampai perang berhenti.  Demikianlah, apabila Allah menghendaki, niscaya Allah akan membinasakan mereka tetapi Allah hendak menguji sebagian kamu dengan sebagian yang lain.  Dan orang-orang yang gugur pada jalan Allah, Allah tidak akan menyia-nyiakan amal mereka.","Maka apabila kamu bertemu dengan orang-orang kafir (di medan perang), maka pukullah batang leher mereka. Selanjutnya apabila kamu telah mengalahkan mereka, tawanlah mereka, dan setelah itu kamu boleh membebaskan mereka atau menerima tebusan, sampai perang selesai. Demikianlah, dan sekiranya Allah menghendaki, niscaya Dia membinasakan mereka, tetapi Dia hendak menguji kamu satu sama lain. Dan orang-orang yang gugur di jalan Allah, maka Allah tidak akan menyia-nyiakan amal mereka.","Jadi jika Anda tidak tidak percaya, maka menyerang nama panggilan, sampai Anda melemparkannya, maka mereka mengencangkan dokumen, sehingga tidak sampai perang membuat kunjungannya ۚ itu, dan jika Tuhan akan diberkati, kita akan menang dari mereka, tetapi bagi Anda untuk menjadi lebih buruk, tetapi yang satu adalah ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ ۗ"
5,سَيَهْدِيهِمْ وَيُصْلِحُ بَالَهُمْ,"Allah akan memberi pimpinan kepada mereka dan memperbaiki keadaan mereka,","Allah akan memberi petunjuk kepada mereka dan memperbaiki keadaan mereka,",Mereka akan membimbing mereka dan mendamaikan mereka
6,وَيُدْخِلُهُمُ ٱلْجَنَّةَ عَرَّفَهَا لَهُمْ,dan memasukkan mereka ke dalam surga yang telah diperkenalkan-Nya kepada mereka.,dan memasukkan mereka ke dalam surga yang telah diperkenalkan-Nya kepada mereka.,Surga memasuki mereka
7,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓا۟ إِن تَنصُرُوا۟ ٱللَّهَ يَنصُرْكُمْ وَيُثَبِّتْ أَقْدَامَكُمْ,"Hai orang-orang yang beriman, jika kamu menolong (agama) Allah, niscaya Dia akan menolongmu dan meneguhkan kedudukanmu.","Wahai orang-orang yang beriman! Jika kamu menolong (agama) Allah, niscaya Dia akan menolongmu dan meneguhkan kedudukanmu.","O, mereka yang aman, jika Anda akan menang, Tuhan memberkati Anda dan membuktikan kaki Anda"
8,وَٱلَّذِينَ كَفَرُوا۟ فَتَعْسًا لَّهُمْ وَأَضَلَّ أَعْمَـٰلَهُمْ,"Dan orang-orang yang kafir, maka kecelakaanlah bagi mereka dan Allah menghapus amal-amal mereka.","Dan orang-orang yang kafir, maka celakalah mereka, dan Allah menghapus segala amalnya.",Dan mereka yang tidak percaya dan sengsara untuk mereka dan yang terbaik dari berkat mereka
9,ذَٰلِكَ بِأَنَّهُمْ كَرِهُوا۟ مَآ أَنزَلَ ٱللَّهُ فَأَحْبَطَ أَعْمَـٰلَهُمْ,"Yang demikian itu adalah karena sesungguhnya mereka benci kepada apa yang diturunkan Allah (Al-Qur`ān), lalu Allah menghapuskan (pahala-pahala) amal-amal mereka.","Yang demikian itu karena mereka membenci apa (Alquran) yang diturunkan Allah, maka Allah menghapus segala amal mereka.","Itulah karena mereka tidak menyukai apa yang telah diturunkan Tuhan, jadi saya mencintai berkah mereka"
10,۞ أَفَلَمْ يَسِيرُوا۟ فِى ٱلْأَرْضِ فَيَنظُرُوا۟ كَيْفَ كَانَ عَـٰقِبَةُ ٱلَّذِينَ مِن قَبْلِهِمْ ۚ دَمَّرَ ٱللَّهُ عَلَيْهِمْ ۖ وَلِلْكَـٰفِرِينَ أَمْثَـٰلُهَا,Maka apakah mereka tidak mengadakan perjalanan di muka bumi sehingga mereka dapat memperhatikan bagaimana kesudahan orang-orang sebelum mereka; Allah telah menimpakan kebinasaan atas mereka dan orang-orang kafir akan menerima (akibat-akibat) seperti itu.,"Maka apakah mereka tidak pernah mengadakan perjalanan di bumi, sehingga dapat memperhatikan bagaimana kesudahan orang-orang yang sebelum mereka. Allah telah membinasakan mereka, dan bagi orang-orang kafir akan menerima (nasib) yang serupa.","۞ Apakah mereka tidak berjalan di tanah, sehingga mereka dapat melihat, bagaimana pangsit orang -orang di hadapan mereka ۚ Bader, Tuhan memberkati mereka dan untuk Anda dan untuk Anda."
