verse_number,arab,king_fahd,kemenag,google_translate
1, الٓمٓ,Alif Lām Mīm.,Alif lām Mīm.,nyeri
2,ٱللَّهُ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْحَىُّ ٱلْقَيُّومُ,"Allah, tidak ada Tuhan (yang berhak disembah) melainkan Dia.  Yang hidup kekal lagi terus menerus mengurus makhluk-Nya.","Allah, tidak ada tuhan selain Dia. Yang Mahahidup, Yang terus menerus mengurus (makhluk-Nya).","Tuhan, Tuhan hanya, Dia adalah tangannya"
3,نَزَّلَ عَلَيْكَ ٱلْكِتَـٰبَ بِٱلْحَقِّ مُصَدِّقًا لِّمَا بَيْنَ يَدَيْهِ وَأَنزَلَ ٱلتَّوْرَىٰةَ وَٱلْإِنجِيلَ,"Dia menurunkan Alkitab (Al-Qur`ān) kepadamu dengan sebenarnya, membenarkan kitab yang telah diturunkan sebelumnya dan menurunkan Taurat dan Injil,","Dia menurunkan Kitab (Alquran) kepadamu (Muhammad) yang mengandung kebenaran, membenarkan (kitab-kitab) sebelumnya, dan Dia menurunkan Taurat dan Injil,",Kami telah mendatangi Anda dengan hak untuk percaya pada apa yang ada di antara tangannya dan ritual
4,مِن قَبْلُ هُدًى لِّلنَّاسِ وَأَنزَلَ ٱلْفُرْقَانَ ۗ إِنَّ ٱلَّذِينَ كَفَرُوا۟ بِـَٔايَـٰتِ ٱللَّهِ لَهُمْ عَذَابٌ شَدِيدٌ ۗ وَٱللَّهُ عَزِيزٌ ذُو ٱنتِقَامٍ,"sebelum (Al-Qur`ān), menjadi petunjuk bagi manusia, dan Dia menurunkan Al-Furqān. Sesungguhnya orang-orang yang kafir terhadap ayat-ayat Allah akan memperoleh siksa yang berat; dan Allah Maha Perkasa lagi mempunyai balasan (siksa).","sebelumnya, sebagai petunjuk bagi manusia, dan Dia menurunkan Al-Furqan. Sungguh, orang-orang yang ingkar terhadap ayat-ayat Allah akan memperoleh azab yang berat. Allah Mahaperkasa lagi mempunyai balasan (siksa).","Sebelum bimbingan ini untuk orang -orang, dan kedua partai ۗ, bagi mereka yang tidak percaya pada Tuhan, Tuhan memiliki siksaan yang parah, dan Tuhan adalah yang terbaik."
5,إِنَّ ٱللَّهَ لَا يَخْفَىٰ عَلَيْهِ شَىْءٌ فِى ٱلْأَرْضِ وَلَا فِى ٱلسَّمَآءِ,Sesungguhnya bagi Allah tidak ada satu pun yang tersembunyi di bumi dan tidak (pula) di langit.,Bagi Allah tidak ada sesuatu pun yang tersembunyi di bumi dan di langit.,"Tuhan tidak menyembunyikan apa pun dari Dia di bumi, maupun di langit"
6,هُوَ ٱلَّذِى يُصَوِّرُكُمْ فِى ٱلْأَرْحَامِ كَيْفَ يَشَآءُ ۚ لَآ إِلَـٰهَ إِلَّا هُوَ ٱلْعَزِيزُ ٱلْحَكِيمُ,"Dia-lah yang membentuk kamu dalam rahim sebagaimana dikehendaki-Nya.  Tak ada tuhan (yang berhak disembah) melainkan Dia, Yang Maha Perkasa lagi Maha Bijaksana.","Dialah yang membentuk kamu dalam rahim menurut yang Dia kehendaki. Tidak ada tuhan selain Dia. Yang Mahaperkasa, Mahabijaksana.","Dia adalah orang yang menggambarkan Anda dalam belas kasihan, bagaimana ini."
7,هُوَ ٱلَّذِىٓ أَنزَلَ عَلَيْكَ ٱلْكِتَـٰبَ مِنْهُ ءَايَـٰتٌ مُّحْكَمَـٰتٌ هُنَّ أُمُّ ٱلْكِتَـٰبِ وَأُخَرُ مُتَشَـٰبِهَـٰتٌ ۖ فَأَمَّا ٱلَّذِينَ فِى قُلُوبِهِمْ زَيْغٌ فَيَتَّبِعُونَ مَا تَشَـٰبَهَ مِنْهُ ٱبْتِغَآءَ ٱلْفِتْنَةِ وَٱبْتِغَآءَ تَأْوِيلِهِۦ ۗ وَمَا يَعْلَمُ تَأْوِيلَهُۥٓ إِلَّا ٱللَّهُ ۗ وَٱلرَّٰسِخُونَ فِى ٱلْعِلْمِ يَقُولُونَ ءَامَنَّا بِهِۦ كُلٌّ مِّنْ عِندِ رَبِّنَا ۗ وَمَا يَذَّكَّرُ إِلَّآ أُو۟لُوا۟ ٱلْأَلْبَـٰبِ,"Dia-lah yang menurunkan Alkitab (Al-Qur`ān) kepada kamu.  Di antara (isi)nya ada ayat-ayat yang muhkamat, itulah pokok-pokok isi Al-Qur`ān dan yang lain (ayat-ayat) mutasyabihat.  Adapun orang-orang yang dalam hatinya condong kepada kesesatan, maka mereka mengikuti sebagian ayat-ayat yang  mutasyabihat untuk menimbulkan fitnah dan untuk mencari-cari takwilnya, padahal tidak ada yang mengetahui takwilnya melainkan Allah.  Dan orang-orang yang mendalam ilmunya berkata, ""Kami beriman kepada ayat-ayat yang  mutasyabihat, semuanya itu dari sisi Tuhan kami"".  Dan tidak dapat mengambil pelajaran (darinya) melainkan orang-orang yang berakal.","Dialah yang menurunkan Kitab (Alquran) kepadamu (Muhammad). Di antaranya ada ayat-ayat yang muḥkamāt, itulah pokok-pokok Kitab (Alquran) dan yang lain mutasyābihāt. Adapun orang-orang yang dalam hatinya condong pada kesesatan, mereka mengikuti yang mutasyābihāt untuk mencari-cari fitnah dan untuk mencari-cari takwilnya, padahal tidak ada yang mengetahui takwilnya kecuali Allah. Dan orang-orang yang ilmunya mendalam berkata, ""Kami beriman kepadanya (Alquran), semuanya dari sisi Tuhan kami."" Tidak ada yang dapat mengambil pelajaran kecuali orang yang berakal.","Dia adalah orang yang telah diberikan kepadamu, ibu dari itu, ibu dari itu adalah Bunda Raja Hati mereka marah, dan kamu akan mengikuti apa itu dari itu. Dan mereka memiliki pengetahuan yang mereka katakan kepada kita, masing -masing Tuhan kita"
8,رَبَّنَا لَا تُزِغْ قُلُوبَنَا بَعْدَ إِذْ هَدَيْتَنَا وَهَبْ لَنَا مِن لَّدُنكَ رَحْمَةً ۚ إِنَّكَ أَنتَ ٱلْوَهَّابُ,"(Mereka berdoa), ""Ya Tuhan kami, janganlah Engkau jadikan hati kami condong kepada kesesatan sesudah Engkau beri petunjuk kepada kami, dan karuniakanlah kepada kami rahmat dari sisi Engkau; karena sesungguhnya Engkau-lah Maha Pemberi (karunia)"".","(Mereka berdoa), ""Ya Tuhan kami, janganlah Engkau condongkan hati kami kepada kesesatan setelah Engkau berikan petunjuk kepada kami, dan karuniakanlah kepada kami rahmat dari sisi-Mu, sesungguhnya Engkau Maha Pemberi.""",Tuhan kita tidak memikirkan hati kita setelah bimbingan kita dan memberi kita dari belas kasihanmu sebagai belas kasihan.
9,رَبَّنَآ إِنَّكَ جَامِعُ ٱلنَّاسِ لِيَوْمٍ لَّا رَيْبَ فِيهِ ۚ إِنَّ ٱللَّهَ لَا يُخْلِفُ ٱلْمِيعَادَ,"""Ya Tuhan kami, sesungguhnya Engkau mengumpulkan manusia untuk (menerima pembalasan pada) hari yang tak ada keraguan padanya"".  Sesungguhnya Allah tidak menyalahi janji.","""Ya Tuhan kami, Engkaulah yang mengumpulkan manusia pada hari yang tidak ada keraguan padanya."" Sungguh, Allah tidak menyalahi janji.","Tuhan kami, bahwa Anda adalah seluruh orang selama sehari, dan tidak ada keraguan di dalamnya ۚ Tuhan tidak berhasil"
10,إِنَّ ٱلَّذِينَ كَفَرُوا۟ لَن تُغْنِىَ عَنْهُمْ أَمْوَٰلُهُمْ وَلَآ أَوْلَـٰدُهُم مِّنَ ٱللَّهِ شَيْـًٔا ۖ وَأُو۟لَـٰٓئِكَ هُمْ وَقُودُ ٱلنَّارِ,"Sesungguhnya orang-orang yang kafir, harta benda dan anak-anak mereka, sedikit pun tidak dapat menolak (siksa) Allah dari mereka.  Dan mereka itu adalah bahan bakar api neraka.","Sesungguhnya orang-orang yang kafir, bagi mereka tidak akan berguna sedikit pun harta benda dan anak-anak mereka terhadap (azab) Allah. Dan mereka itu (menjadi) bahan bakar api neraka.","Bagi mereka yang tidak percaya Anda, mereka tidak akan diperkaya oleh ibu mereka"
