nomor_ayat,google_translate
1," Hai manusia, bertakwalah kepada Tuhanmu yang telah menciptakan kamu dari seorang diri, dan darinya Dia menciptakan pasangannya, dan dari keduanya Dia memperkembangbiakkan laki-laki dan perempuan yang banyak. Dan bertakwalah kepada Allah yang dengan-Nya kamu saling meminta satu sama lain, dan (bertakwalah) kepada rahim-rahim. Sesungguhnya Allah Maha Melihat atas kamu."
2," Dan berikanlah kepada anak yatim harta mereka, dan janganlah kamu menukar yang buruk dengan yang baik, dan janganlah kamu memakan harta mereka menjadi milikmu. Sesungguhnya yang demikian itu adalah dosa besar."
3,"Dan jika kamu khawatir tidak akan dapat berlaku adil terhadap gadis-gadis yatim, maka nikahilah wanita-wanita yang kamu sukai, dua, tiga, atau empat; tetapi jika kamu khawatir tidak akan dapat berlaku adil, maka nikahilah salah seorang dari budak-budakmu. Yang demikian itu lebih baik agar kamu tidak dizalimi."
4," Dan berikanlah kepada para wanita hadiah-hadiah pernikahan mereka sebagai hadiah yang diberikan dengan cuma-cuma. Tetapi jika mereka menyerahkan sebagian darinya kepadamu dengan sukarela, maka terimalah dengan senang hati dan damai."
5,"Dan janganlah kamu berikan hartamu kepada orang-orang yang bodoh, padahal Allah telah menjadikan harta itu sebagai penopang hidupmu. Akan tetapi, berikanlah mereka rezeki dari harta itu, berikanlah mereka pakaian, dan ucapkanlah kepada mereka perkataan yang baik."
6,"Dan ujilah anak-anak yatim hingga mereka cukup umur untuk menikah. Kemudian jika kamu melihat mereka memiliki kebijaksanaan, berikanlah harta mereka kepada mereka. Janganlah kamu berlebih-lebihan dan boros, agar mereka tidak menjadi dewasa. Dan barangsiapa kaya, hendaklah ia berpuasa, dan barangsiapa miskin, hendaklah ia makan sesuai dengan yang baik. Dan ketika kamu memberikan harta mereka kepada mereka, maka datangkanlah saksi-saksi terhadap mereka, dan cukuplah Allah sebagai Pembuat Perhitungan."
7,"Bagi laki-laki ada bagian dari harta peninggalan ibu bapak dan kerabat, dan bagi wanita ada bagian dari harta peninggalan ibu bapak dan kerabat, baik sedikit maupun banyak, menurut bagian yang wajib."
8," Dan apabila hadir di pembagian itu kaum kerabat, anak-anak yatim dan orang-orang miskin, maka berikanlah kepada mereka sebagian dari pembagian itu dan ucapkanlah kepada mereka perkataan yang baik dan penuh kasih sayang."
9," Hendaknya mereka yang jika meninggalkan keturunan yang lemah, takutlah kepada mereka. Maka hendaklah mereka bertakwa kepada Allah dan mengucapkan kata-kata yang adil."
10,"Sesungguhnya orang-orang yang memakan harta anak yatim secara zalim, mereka itu hanyalah memasukkan api ke dalam perut mereka, dan mereka benar-benar akan masuk ke dalam kobaran api yang menyala-nyala."
11,"Allah telah memerintahkan kamu tentang anak-anakmu: untuk anak laki-laki, bagiannya sama dengan bagian dua anak perempuan. Jika lebih dari dua, bagi mereka dua pertiga dari apa yang ditinggalkannya; jika hanya satu, bagi istrinya setengahnya. Dan untuk kedua orang tuanya, untuk masing-masing dari mereka seperenam dari apa yang ditinggalkannya jika ia meninggalkan seorang anak. Tetapi jika ia tidak meninggalkan anak dan kedua orang tuanya adalah ahli warisnya, maka untuk ibunya sepertiga. Tetapi jika ia memiliki saudara laki-laki, maka ibunya mendapat seperenam, setelah wasiat atau utang yang mungkin ia buat. Ayah-ayahmu dan anak-anakmu - kamu tidak mengetahui siapa di antara mereka yang lebih dekat manfaatnya kepadamu. [Itu] adalah kewajiban dari Allah. Sesungguhnya Allah Maha Mengetahui lagi Maha Bijaksana."
12,"Dan bagimu separuh dari apa yang ditinggalkan istrimu jika mereka tidak mempunyai anak. Tetapi jika mereka mempunyai anak, maka bagimu seperempat dari apa yang mereka tinggalkan setelah wasiat apa pun yang telah mereka buat atau utang. Dan bagi mereka seperempat dari apa yang kamu tinggalkan jika kamu tidak mempunyai anak. Tetapi jika kamu mempunyai anak, maka bagi mereka seperdelapan dari apa yang kamu tinggalkan setelah wasiat apa pun yang telah kamu buat atau utang. Dan jika seorang laki-laki atau perempuan meninggal sebagai keturunan langsung, dan dia mempunyai saudara laki-laki atau perempuan, maka masing-masing dari mereka mendapat seperenam; tetapi jika lebih dari itu, maka mereka mendapat bagian sepertiga setelah wasiat apa pun yang telah dia buat atau utang tanpa menimbulkan kerugian - wasiat dari Allah. Dan Allah Maha Mengetahui lagi Maha Penyantun."
13,"Inilah batas-batas yang ditetapkan Allah. Dan barangsiapa yang menaati Allah dan Rasul-Nya, Allah akan memasukkannya ke dalam surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya. Dan itulah kemenangan yang agung."
14," Dan barangsiapa yang mendurhakai Allah dan Rasul-Nya dan melanggar hukum-hukum-Nya, maka Allah akan memasukkannya ke dalam neraka, kekal di dalamnya. Dan baginya siksa yang menghinakan."
15," Dan wanita-wanita di antara kalian yang melakukan perbuatan haram, bawalah empat orang saksi dari antara kalian. Dan jika mereka memberi kesaksian, kurunglah mereka di rumah-rumah sampai ajal menjemput mereka atau Allah menetapkan jalan bagi mereka."
16,"Dan orang-orang yang melakukannya di antara kalian, hukumlah mereka. Namun, jika mereka bertobat dan memperbaiki diri, biarkanlah mereka. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang."
17," Taubat dari Allah hanyalah bagi mereka yang berbuat jahat karena ketidaktahuan, lalu segera bertobat. Mereka itulah orang-orang yang akan diampuni Allah. Dan Allah Maha Mengetahui lagi Maha Bijaksana."
18,"Dan tidak ada taubat bagi orang-orang yang mengerjakan kejahatan hingga ketika ajal menghampiri salah seorang di antara mereka, ia berkata, ""Sesungguhnya aku bertobat sekarang,"" dan tidak pula bagi orang-orang yang mati dalam keadaan kafir. Bagi mereka, Kami telah menyediakan azab yang pedih."
19,"Wahai orang-orang yang beriman, tidak halal bagimu mewarisi istri-istri dengan paksa. Dan janganlah kamu menghalangi mereka untuk mengambil sebagian dari apa yang telah kamu berikan kepada mereka, kecuali jika mereka melakukan kekejian yang nyata. Dan bergaullah dengan mereka dengan penuh kasih. Karena jika kamu membenci mereka, boleh jadi kamu membenci sesuatu, padahal Allah menjadikan padanya kebaikan yang banyak."
20," Dan jika kamu ingin mengganti seorang istri dengan istri yang lain, padahal kamu telah memberikan kepada salah seorang di antara mereka harta yang banyak, maka janganlah kamu mengambil kembali sedikit pun darinya. Apakah kamu akan mengambilnya kembali dengan fitnah dan dosa yang nyata?"
21,"Dan bagaimanakah kamu dapat mengambilnya, sementara kamu telah masuk ke dalam satu sama lain dan mereka telah mengambil dari padamu suatu perjanjian yang kudus?"
22," Dan janganlah kamu menikahi wanita-wanita yang dinikahi oleh bapak-bapakmu, kecuali yang telah terjadi. Sesungguhnya, itu adalah suatu perbuatan keji, keji dan suatu jalan yang buruk."
23,"Diharamkan bagimu ibu-ibumu, anak-anak perempuanmu, saudara-saudara perempuanmu, bibi-bibimu dari pihak ayah, bibi-bibimu dari pihak ibu, anak-anak perempuan saudara laki-lakimu, anak-anak perempuan saudara perempuanmu, ibu-ibu angkatmu yang telah menyusuimu, saudara-saudara perempuan angkatmu, ibu-ibu istrimu, anak-anak perempuan tirimu yang berada dalam perwalianmu dari istri-istrimu yang telah kamu campuri dengan mereka. Tetapi jika kamu belum menggauli mereka, maka tidak ada dosa bagimu. Dan istri-istri anak-anak lelakimu yang masih ada hubungan darah dengan kamu, dan kamu mengawini dua orang saudara perempuan, kecuali yang telah terjadi. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang."
24,"۞ Dan wanita-wanita yang menjaga kehormatan, kecuali wanita-wanita yang dimiliki budak-budakmu. Ini adalah ketetapan Allah atasmu. Dan dihalalkan bagimu apa yang lebih dari itu, agar kamu dapat mencari (sesuatu) dengan hartamu, dengan menjaga kehormatan, bukan dengan hubungan yang haram. Maka apa pun yang telah kamu nikmati di antara mereka, berikanlah kepada mereka pahala mereka sebagai suatu kewajiban. Dan tidak ada dosa bagimu atas apa yang kamu sepakati bersama setelah itu. Kewajiban. Sesungguhnya Allah Maha Mengetahui lagi Maha Bijaksana."
25,"Dan barangsiapa di antara kamu tidak mampu menikahi wanita-wanita merdeka yang beriman, maka nikahilah mereka dari budak-budak perempuan yang beriman yang kamu miliki. Dan Allah Maha Mengetahui tentang imanmu, sebagian kamu dari sebagian yang lain. Maka nikahilah mereka dengan izin kaum mereka dan berikanlah kepada mereka pahala yang halal menurut yang dapat diterima, yaitu mereka yang menjaga kehormatan, bukan pezina, dan tidak (pula) berselingkuh. Tetapi jika mereka telah menikah, jika mereka berbuat zina, maka atas mereka separuh dari siksa yang menimpa wanita-wanita merdeka. Yang demikian itu adalah bagi orang yang takut kepada kesukaran di antara kamu, dan bersabar adalah lebih baik bagimu. Dan Allah Maha Pengampun lagi Maha Penyayang."
26,"Allah ingin menjelaskan dan membimbingmu kepada jalan orang-orang sebelummu, serta agar engkau menerima taubatmu. Dan Allah Maha Mengetahui lagi Maha Bijaksana."
27," Dan Allah menghendaki supaya kamu bertobat, tetapi orang-orang yang mengikuti hawa nafsunya menginginkan supaya kamu menyimpang jauh dari kebenaran."
28," Tuhan ingin meringankan bebanmu, dan manusia diciptakan lemah."
29," Hai orang-orang yang beriman, janganlah kamu saling memakan harta sesamamu dengan jalan yang batil, kecuali dalam jual beli yang halal dengan suka sama suka di antara kamu. Dan janganlah kamu membunuh dirimu sendiri. Sesungguhnya Allah Maha Penyayang kepadamu."
30,"Dan barangsiapa yang mengerjakan hal itu dengan kekerasan dan kezaliman, maka Kami akan memasukkannya ke dalam api neraka. Dan yang demikian itu adalah mudah bagi Allah."
31," Jika kamu menjauhi dosa-dosa besar yang dilarang bagimu, niscaya Kami hapus dosa-dosamu yang kecil dan Kami masukkan kamu ke tempat yang mulia."
32," Dan janganlah kamu mengingini apa yang telah Allah berikan kepada sebagian kamu atas sebagian yang lain. Laki-laki akan memperoleh bagian dari apa yang telah mereka usahakan, dan perempuan akan memperoleh bagian dari apa yang telah mereka usahakan. Dan mintalah kepada Allah sebagian dari karunia-Nya. Sesungguhnya Allah Maha Mengetahui segala sesuatu."
33,"Dan bagi setiap orang, Kami telah menetapkan ahli waris atas apa yang ditinggalkan oleh kedua orang tua dan kerabat dekat. Dan orang-orang yang telah kamu janjikan, maka berikanlah kepada mereka bagian mereka. Sesungguhnya Allah Maha Menyaksikan atas segala sesuatu."
34,"Laki-laki adalah pemimpin bagi perempuan berdasarkan apa yang telah Allah berikan kepada sebagian mereka atas sebagian yang lain, dan berdasarkan apa yang mereka nafkahkan dari harta mereka. Maka perempuan-perempuan yang saleh adalah mereka yang taat, dan memelihara diri ketika suami tidak ada, apa yang Allah kehendaki mereka pelihara. Adapun perempuan-perempuan yang kamu khawatirkan akan kedurhakaannya, maka tegurlah mereka, dan biarkanlah mereka di tempat tidur, lalu pukullah mereka. Jika mereka menaatimu, hendaklah mereka tunduk. Maka janganlah kamu mencari-cari jalan untuk melawan mereka. Sesungguhnya Allah Maha Tinggi lagi Maha Besar."
35,"Dan jika kamu khawatirkan adanya perselisihan di antara keduanya, maka kirimkanlah seorang hakim dari kaum laki-laki dan seorang hakim dari kaum perempuan. Jika keduanya menghendaki perdamaian, niscaya Allah akan mengadakan perdamaian di antara keduanya. Sesungguhnya Allah Maha Mengetahui lagi Maha Mengenal."
36," ۞ Dan sembahlah Allah dan janganlah kamu mempersekutukan-Nya dengan sesuatu pun, dan berbuat baiklah kepada kedua orang tua, kerabat, anak yatim, orang-orang miskin, tetangga yang merupakan kerabat dan tetangga yang merupakan orang asing, teman seperjalananmu, orang yang sedang dalam perjalanan, dan budak-budakmu. Sesungguhnya Allah tidak menyukai orang-orang yang mempersekutukan Allah. Dia adalah orang yang sombong dan angkuh."
37,Orang-orang yang kikir dan menyuruh manusia berbuat kikir dan menyembunyikan apa yang telah diberikan Allah kepada mereka dari karunia-Nya. Dan Kami sediakan bagi orang-orang kafir itu azab yang menghinakan.
38," Dan orang-orang yang menafkahkan hartanya karena riya kepada manusia, padahal mereka tidak beriman kepada Allah dan Hari Akhir. Dan barangsiapa yang menjadi teman setan, maka ia adalah teman yang seburuk-buruknya."
39, Dan apa bahayanya bagi mereka jika mereka beriman kepada Allah dan Hari Akhir serta menafkahkan sebagian rezeki yang telah Allah berikan kepada mereka? Dan Allah Maha Mengetahui tentang mereka.
40,"Sungguh, Allah tidak menzalimi seberat atom pun. Dan jika ada kebaikan, Dia melipatgandakannya dan memberikan pahala yang besar dari sisi-Nya."
41," Maka bagaimanakah (akibatnya), apabila Kami datangkan seorang saksi dari tiap-tiap umat, dan Kami datangkan kamu (Muhammad) sebagai saksi atas mereka?"
42," Pada hari itu orang-orang yang kafir dan durhaka kepada Rasul menginginkan supaya bumi diratakan bersama mereka, dan mereka tidak dapat menyembunyikan satu perkataan pun dari Allah."
43,"Wahai orang-orang yang beriman, janganlah kalian shalat dalam keadaan mabuk hingga kalian sadar apa yang kalian ucapkan, atau dalam keadaan janabah, kecuali orang-orang yang sedang lewat, hingga kalian mandi. Dan jika kalian sakit, atau dalam perjalanan, atau salah seorang di antara kalian datang dari tempat buang hajat, atau kalian telah menyentuh perempuan dan tidak menemukan air, maka bertayammumlah dengan tanah yang suci dan usaplah wajah dan tangan kalian. Sesungguhnya Allah Maha Pengampun lagi Maha Pengampun."
44,Tidakkah kamu perhatikan orang-orang yang diberi sebagian Kitab Suci? Mereka membeli kesesatan dan menginginkan agar kamu tersesat dari jalan.
45," Dan Allah lebih mengetahui tentang musuh-musuhmu. Dan cukuplah Allah sebagai pelindung, dan cukuplah Allah sebagai penolong."
46,"Di antara orang-orang Yahudi ada orang-orang yang memutarbalikkan perkataan dari tata bahasanya dan mengatakan, ""Kami mendengar dan kami durhaka,"" dan ""Dengarlah,"" padahal kamu tidak mendengar, dan ""Perhatikanlah kami,"" dengan memutarbalikkan lidah mereka dan sebagai bentuk penghinaan terhadap agama. Padahal seandainya mereka mengatakan, ""Kami mendengar dan kami taat,"" dan ""Dengarlah dan perhatikanlah,"" tentulah itu lebih baik bagi mereka dan lebih lurus. Tetapi Allah telah melaknat mereka karena kekafiran mereka, maka mereka tidak beriman kecuali kepada ayat ""Dan (tidak halal bagi mereka berbuat demikian) sedikit saja."""
47,"Hai orang-orang yang telah diberi Kitab Suci, berimanlah kepada apa yang telah Kami turunkan, yang membenarkan apa yang ada padamu, sebelum Kami hancurkan muka-muka dan Kami balikkan mereka atau Kami kutuk mereka sebagaimana Kami kutuk orang-orang yang melanggar Sabat. Dan ketetapan Allah itu pasti."
48," Sesungguhnya Allah tidak mengampuni dosa persekutukan dengan-Nya, tetapi Dia mengampuni dosa yang lebih kecil dari itu bagi siapa yang Dia kehendaki. Dan barangsiapa yang mempersekutukan Allah, sungguh, ia telah membuat dosa yang besar."
49," Tidakkah kamu perhatikan orang-orang yang mengaku dirinya suci? Padahal, Allah-lah yang menyucikan siapa yang Dia kehendaki, dan mereka tidak dizalimi, sejengkal pun."
50,"Perhatikanlah bagaimana mereka mengada-adakan kebohongan terhadap Allah, dan cukuplah yang demikian itu sebagai dosa yang nyata."
51," Tidakkah kamu perhatikan orang-orang yang diberi sebagian Kitab Suci? Mereka beriman kepada jibt dan thaghut, dan berkata kepada orang-orang kafir, ""Mereka ini lebih baik petunjuknya daripada orang-orang yang beriman kepada suatu jalan."""
52," Mereka itulah orang-orang yang dilaknat Allah. Dan barangsiapa yang dilaknat Allah, kamu sekali-kali tidak akan memperoleh penolong baginya."
53, Atau apakah mereka memiliki bagian dalam kerajaan itu? Maka mereka tidak akan memberikan sedikit pun kepada rakyat.
54,"Ataukah mereka dengki kepada manusia atas karunia yang telah diberikan Allah kepada mereka? Padahal sesungguhnya Kami telah memberikan kepada keluarga Ibrahim Kitab Suci dan hikmah, dan Kami berikan kepada mereka kerajaan yang besar."
55," Sebagian dari mereka beriman kepadanya, dan sebagian lagi berpaling darinya. Dan cukuplah Jahannam yang menyala-nyala."
56," Sesungguhnya orang-orang yang kafir kepada ayat-ayat Kami, akan Kami masukkan mereka ke dalam api neraka. Setiap kali kulit mereka hangus terbakar, Kami ganti dengan kulit yang lain agar mereka merasakan azab. Sesungguhnya Allah Maha Perkasa lagi Maha Bijaksana."
57,"Dan orang-orang yang beriman dan mengerjakan amal saleh, akan Kami masukkan mereka ke dalam surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya. Di dalamnya mereka akan memiliki istri-istri yang suci, dan akan Kami masukkan mereka ke dalam naungan yang teduh."
58," Sesungguhnya Allah memerintahkanmu untuk menunaikan amanah kepada yang berhak menerimanya, dan ketika kamu memutuskan perkara di antara manusia, hendaklah kamu memutuskan dengan adil. Sesungguhnya Allah memberi petunjuk kepadamu dengan baik. Sesungguhnya Allah Maha Mendengar lagi Maha Melihat."
59,"Hai orang-orang yang beriman, taatilah Allah dan taatilah Rasul-Nya, dan ulil amri di antara kamu. Dan jika kamu berselisih tentang sesuatu, maka kembalikanlah kepada Allah dan Rasul-Nya, jika kamu beriman kepada Allah dan Hari Akhir. Yang demikian itu lebih baik dan lebih baik akibatnya."
60," Tidakkah kamu perhatikan orang-orang yang mengaku telah beriman kepada apa yang diwahyukan kepadamu, [wahai Muhammad], dan apa yang telah diwahyukan sebelum kamu? Mereka ingin mengadukan masalah mereka kepada Thaghut, padahal mereka diperintahkan untuk mengingkarinya. Dan setan ingin menyesatkan mereka sejauh-jauhnya."
61,"Dan apabila dikatakan kepada mereka, ""Marilah kepada apa yang telah diturunkan Allah dan kepada Rasul,"" kamu akan melihat orang-orang munafik berpaling darimu karena takut."
62," Maka bagaimanakah apabila mereka ditimpa musibah disebabkan perbuatan tangan mereka sendiri, kemudian mereka datang kepadamu sambil bersumpah dengan nama Allah: ""Kami tidak menghendaki selain kebaikan dan perbaikan."""
63," Mereka itulah orang-orang yang Allah mengetahui hatinya, maka jauhilah mereka, berilah mereka peringatan, dan katakanlah kepada mereka perkataan yang luas dalam hati mereka."
