nomor_ayat,google_translate
1," Hai orang-orang yang beriman, janganlah kamu menjadikan musuh-musuh-Ku dan musuh-musuhmu sebagai sekutu, dengan menunjukkan rasa sayang kepada mereka, padahal mereka telah mengingkari kebenaran yang datang kepadamu. Mereka mengusir Rasul dan kamu sendiri karena kamu beriman kepada Allah, Tuhanmu. Jika kamu telah berperang di jalan-Ku dan mencari keridhaan-Ku, maka bicaralah kepada mereka dengan rahasia, dengan penuh kasih sayang. Dan Aku mengetahui apa yang kamu sembunyikan dan apa yang kamu nyatakan. Dan barangsiapa yang melakukannya di antara kamu, sungguh, ia telah tersesat dari jalan yang benar."
2,"Jika mereka menemukan kamu, niscaya mereka akan menjadi musuh bagimu, dan akan mengulurkan tangan dan lidahnya kepadamu dengan kejahatan, dan mereka menghendaki supaya kamu menjadi kafir."
3, Baik kerabat maupun anak-anakmu tidak akan bermanfaat bagimu pada Hari Kiamat. Dia akan mengadili di antara kamu. Dan Allah Maha Melihat apa yang kamu kerjakan.
4,"Telah ada bagimu teladan yang baik pada diri Ibrahim dan orang-orang yang bersamanya, ketika mereka berkata kepada kaum mereka, ""Sesungguhnya kami telah berpaling darimu dan dari apa pun yang kamu sembah selain Allah. Kami telah mendustakanmu, dan telah tampak antara kami dan kamu permusuhan dan kebencian yang kekal, sampai kamu beriman kepada Allah semata, kecuali perkataan Ibrahim kepada ayahnya, ""Sesungguhnya aku akan memohonkan ampunan bagimu, tetapi aku tidak memiliki sesuatu pun dari Allah bagimu."" Ya Tuhan kami, hanya kepada-Mu kami bertawakal, dan hanya kepada-Mu kami kembali, dan kepada-Mulah tempat kembali."
5,"Ya Tuhan kami, janganlah jadikan kami cobaan bagi orang-orang kafir, dan ampunilah kami, ya Tuhan kami. Sesungguhnya Engkau Maha Perkasa lagi Maha Bijaksana."
6," Sungguh, telah ada bagimu pada mereka suri teladan yang baik bagi siapa saja yang mengharap rahmat Allah dan hari akhir. Barangsiapa yang berpaling, maka sesungguhnya Allah Maha Kaya lagi Maha Terpuji."
7," ۞ Semoga Allah menumbuhkan rasa kasih sayang antara kamu dan orang-orang yang kamu permusuhani. Dan Allah Maha Perkasa, Allah Maha Pengampun lagi Maha Penyayang."
8,"Allah tidak melarang kalian dari orang-orang yang tidak memerangi kalian karena agama dan tidak mengusir kalian dari kampung halaman kalian, dari berlaku baik kepada mereka dan berlaku adil kepada mereka. Sesungguhnya Allah mencintai orang-orang yang berlaku adil."
9," Allah hanya melarang kalian dari orang-orang yang memerangi kalian karena agama, mengusir kalian dari kampung halaman kalian, dan mendukung pengusiran kalian—dari menjadikan mereka sekutu. Dan barangsiapa menjadikan mereka sekutu, maka merekalah orang-orang yang zalim."
10,"Hai orang-orang yang beriman, jika datang kepadamu wanita-wanita mukmin sebagai orang-orang yang berhijrah, maka periksalah mereka. Allah lebih mengetahui tentang keimanan mereka. Dan jika kamu telah memastikan bahwa mereka orang-orang yang beriman, janganlah kamu kembalikan mereka kepada orang-orang kafir. Mereka tidak halal bagi mereka, dan tidak pula halal bagi mereka. Berikanlah mereka apa yang telah mereka nafkahkan. Dan tidak ada dosa bagimu untuk merampas hak mereka. Nikahilah mereka ketika kamu telah memberikan hak mereka, dan janganlah kamu mempertahankan akad nikah wanita-wanita kafir. Dan tanyakanlah apa yang telah kamu nafkahkan, dan hendaklah mereka bertanya apa yang telah mereka nafkahkan. Demikianlah keputusan Allah; Dia memutuskan di antara kamu, dan Allah Maha Mengetahui lagi Maha Bijaksana."
11,"Dan jika salah seorang dari istri-istrimu telah meninggal dunia karena orang-orang kafir, lalu kamu menyiksa mereka, maka berikanlah kepada mereka (yang istrinya telah meninggal) harta yang telah mereka nafkahkan. Dan bertakwalah kepada Allah, yang kepada-Nya kamu beriman."
12,"Wahai Nabi, jika datang kepadamu wanita-wanita mukmin yang berbaiat kepadamu bahwa mereka tidak akan menyekutukan Allah dengan sesuatu pun, tidak akan mencuri, tidak akan berzina, tidak akan membunuh anak-anak mereka, tidak akan membuat fitnah yang mereka ada-adakan di antara tangan dan kaki mereka, dan tidak akan mendurhakaimu dalam kebenaran, maka terimalah baiat mereka dan mohonkanlah ampunan bagi mereka kepada Allah. Allah Maha Pengampun lagi Maha Penyayang."
13,"Hai orang-orang yang beriman, janganlah kamu menjadikan suatu kaum yang telah dimurkai Allah sebagai sekutu. Mereka telah putus asa terhadap akhirat, sebagaimana orang-orang kafir telah putus asa terhadap penghuni kubur."
