nomor_ayat,google_translate
1," Sesungguhnya orang-orang yang kafir dan menghalangi manusia dari jalan Allah, Allah akan menghapuskan amal-amal mereka."
2," Dan orang-orang yang beriman dan mengerjakan amal saleh dan beriman kepada kitab yang diturunkan kepada Muhammad, dan itu adalah benar dari Tuhan mereka, niscaya Allah menghapus kesalahan-kesalahan mereka dan memperbaiki keadaan mereka."
3," Yang demikian itu karena sesungguhnya orang-orang kafir itu mengikuti yang batil, dan orang-orang yang beriman itu mengikuti yang benar dari Tuhan mereka. Demikianlah Allah memperlihatkan kepada manusia perumpamaan-perumpamaan mereka."
4,"Maka apabila kamu bertemu dengan orang-orang kafir, pancunglah leher mereka hingga kamu berhasil membantai mereka, kemudian amankanlah ikatan mereka. Kemudian, ambillah kebaikan sesudahnya, atau tebuslah mereka hingga perang selesai. Demikianlah perbuatan mereka. Dan seandainya Allah menghendaki, niscaya Dia membalas mereka, tetapi (perbuatan itu) hanyalah untuk menguji sebagian kamu dengan sebagian yang lain. Dan orang-orang yang gugur di jalan Allah, itulah cobaan. Allah tidak akan menyia-nyiakan amal mereka."
5, Dia akan membimbing mereka dan mengatur urusan mereka dengan benar.
6, Dan Dia memasukkan mereka ke dalam surga yang telah Dia kenalkan kepada mereka.
7,"Hai orang-orang yang beriman, jika kamu menolong Allah, niscaya Dia akan menolong kamu dan meneguhkan kedudukanmu."
8," Dan orang-orang yang kafir, maka amat buruklah nasib mereka dan Allah menghapuskan amal-amal mereka."
9," Yang demikian itu adalah karena mereka benci kepada apa yang diturunkan Allah, maka Allah hapuskan amal-amal mereka."
10," ۞ Dan apakah mereka tidak berjalan di muka bumi dan memperhatikan bagaimana kesudahan orang-orang sebelum mereka? Allah telah membinasakan mereka, dan bagi orang-orang kafir seperti itu."
11," Yang demikian itu adalah karena sesungguhnya Allah adalah Pelindung orang-orang yang beriman, dan sesungguhnya orang-orang yang kafir tidak mempunyai pelindung."
12,"Sesungguhnya Allah memasukkan orang-orang yang beriman dan mengerjakan amal saleh ke dalam surga yang mengalir di bawahnya sungai-sungai. Dan orang-orang yang kafir akan bersenang-senang dan makan sebagaimana makan binatang ternak, dan neraka adalah tempat tinggal bagi mereka."
13," Dan berapa banyak kota yang lebih kuat kekuatannya daripada kotamu yang mengusirmu? Kami telah membinasakan mereka, dan tidak ada seorang pun penolong bagi mereka."
14," Apakah orang yang memiliki bukti yang nyata dari Tuhannya sama dengan orang yang dipermainkan kejahatannya, kemudian mereka mengikuti hawa nafsunya?"
15,"Perumpamaan surga yang dijanjikan kepada orang-orang yang bertakwa: Di dalamnya ada sungai-sungai yang airnya tidak pernah berubah, sungai-sungai susu yang tidak pernah berubah rasanya, sungai-sungai anggur yang lezat bagi orang-orang yang meminumnya, dan sungai-sungai madu yang murni. Di dalamnya mereka memperoleh dari segala macam buah-buahan dan ampunan dari Tuhan mereka, seperti orang yang kekal di dalam neraka lalu diberi minum air yang mendidih, lalu usus mereka pecah."
16,"Dan di antara mereka ada orang-orang yang mendengarkan kamu, hingga apabila mereka meninggalkan kamu, mereka berkata kepada orang-orang yang telah diberi ilmu pengetahuan, ""Apa yang baru saja dikatakannya?"" Mereka itulah orang-orang yang telah dikunci mati oleh Allah dalam hati mereka, dan mereka mengikuti hawa nafsu mereka."
17," Dan orang-orang yang mendapat petunjuk, Allah tambahkan petunjuk kepada mereka dan memberikan kepada mereka ketakwaan."
