nomor_ayat,google_translate
1," Wahai Nabi, mengapa engkau mengharamkan apa yang telah Allah halalkan bagimu, karena ingin menyenangkan istri-istrimu? Padahal Allah Maha Pengampun lagi Maha Penyayang."
2," Allah telah menetapkan bagimu penebusan sumpah-sumpahmu. Dan Allah adalah Pelindungmu, dan Dia Maha Mengetahui lagi Maha Bijaksana."
3," Dan ketika Nabi SAW menceritakan suatu pernyataan kepada salah seorang istrinya, dan ketika istrinya itu menceritakannya, lalu Allah memberitahukannya kepada beliau, beliau pun memberitahukannya sebagian dan mengabaikan sebagian lagi. Ketika Nabi SAW menceritakannya, istrinya bertanya, ""Siapa yang memberitahumu tentang ini?"" Beliau menjawab, ""Yang Maha Mengetahui lagi Maha Mengenal yang memberitahuku."""
4,"Jika kalian berdua bertaubat kepada Allah, maka sesungguhnya hati kalian telah condong. Tetapi jika kalian berdua menentangnya, maka sesungguhnya Allah adalah Pelindungnya, dan Jibril, orang-orang mukmin yang saleh, dan para malaikat setelah itu akan menjadi penolongnya."
5," Mudah-mudahan Tuhannya, jika ia menceraikan kamu, akan mengganti baginya istri-istri yang lebih baik dari kamu, yaitu: wanita-wanita yang tunduk, beriman, taat, bertaubat, taat beribadah, bekas istri dan perawan."
6,"Hai orang-orang yang beriman, peliharalah dirimu dan keluargamu dari api neraka yang bahan bakarnya adalah manusia dan batu. Penjaganya adalah malaikat-malaikat yang kasar dan keras. Mereka tidak mendurhakai Allah terhadap apa yang diperintahkan-Nya kepada mereka, dan selalu mengerjakan apa yang diperintahkan kepada mereka."
7," Wahai orang-orang kafir, janganlah kamu meminta-minta pada hari ini. Kamu tidak akan diberi balasan kecuali atas apa yang telah kamu kerjakan."
8,"Wahai orang-orang yang beriman, bertobatlah kepada Allah dengan taubat yang tulus. Mudah-mudahan Tuhanmu akan menghapus kesalahan-kesalahanmu dan memasukkanmu ke dalam surga yang mengalir di bawahnya sungai-sungai, pada hari ketika Allah tidak akan mempermalukan Nabi dan orang-orang yang beriman bersamanya. Cahaya mereka akan bersinar di hadapan mereka, dan di sebelah kanan mereka akan berkata, ""Ya Tuhan kami, sempurnakanlah bagi kami cahaya kami dan ampunilah kami. Sesungguhnya Engkau Maha Kuasa atas segala sesuatu."""
9,"Wahai Nabi, perangilah orang-orang kafir dan munafik, dan bersikaplah keras terhadap mereka. Tempat kembali mereka adalah neraka, dan seburuk-buruk tempat kembali."
10," Allah menjadikan istri Nuh dan istri Luth sebagai perumpamaan bagi orang-orang yang kafir. Keduanya berada di bawah pengawasan dua hamba Kami yang saleh, lalu keduanya mengkhianati keduanya, maka keduanya tidak dapat menolong mereka sedikit pun dari Allah. Dan dikatakan, ""Masuklah ke dalam neraka bersama orang-orang yang masuk."""
11,"Dan Allah menjadikan perumpamaan bagi orang-orang yang beriman, yaitu istri Fir'aun, ketika ia berdoa: ""Ya Tuhanku, bangunkanlah untukku sebuah rumah di sisi-Mu di surga dan peliharalah aku dari Fir'aun dan perbuatannya, dan peliharalah aku dari kaum yang zalim."""
12," Dan Maryam putri Imran, yang menjaga kehormatannya, lalu Kami tiupkan ke dalam dirinya sebagian dari roh Kami, lalu dia beriman kepada kalimat-kalimat Tuhannya dan Kitab-kitab-Nya, dan dia termasuk orang-orang yang bertaqwa."
