nomor_ayat,google_translate
1," Wahai orang-orang yang beriman, janganlah kalian meninggikan diri di hadapan Allah dan Rasul-Nya, dan bertakwalah kepada Allah. Sesungguhnya Allah Maha Mendengar lagi Maha Mengetahui."
2," Hai orang-orang yang beriman, janganlah kamu mengeraskan suaramu melebihi suara Nabi, dan janganlah kamu mengeraskan suaramu kepadanya sebagaimana kamu mengeraskan suaramu di antara kamu, karena hal itu akan sia-sia amalmu, sedang kamu tidak menyadarinya."
3," Sesungguhnya orang-orang yang merendahkan suaranya di sisi Rasulullah, merekalah orang-orang yang telah diuji Allah hatinya untuk bertaqwa. Bagi mereka ampunan dan pahala yang besar."
4,"Sesungguhnya orang-orang yang menyeru kamu dari belakang bilik-bilik, kebanyakan mereka tidak dapat berpikir."
5," Dan seandainya mereka bersabar sampai kamu keluar menemui mereka, tentulah itu lebih baik bagi mereka. Dan Allah Maha Pengampun lagi Maha Penyayang."
6," Hai orang-orang yang beriman, jika datang kepadamu orang fasik membawa suatu berita, maka periksalah, agar kamu tidak menimpakan suatu malapetaka kepada suatu kaum karena ketidaktahuan, yang kemudian kamu menyesal atas apa yang telah kamu kerjakan."
7,"Dan ketahuilah bahwa di tengah-tengah kamu ada Rasulullah. Seandainya dia menaati kamu dalam banyak hal, niscaya kamu akan berada dalam kesulitan. Akan tetapi, Allah telah mencintaimu, menjadikannya keimanan, dan menjadikan keimanan itu menyenangkan hatimu, serta membenci kekufuran, kefasikan, dan kemaksiatan. Mereka itulah orang-orang yang mendapat petunjuk."
8, Sebuah nikmat dan berkah dari Allah. Dan Allah Maha Mengetahui lagi Maha Bijaksana.
9,"Dan jika ada dua golongan di antara orang-orang beriman yang berperang, maka berdamailah mereka. Jika salah satu dari mereka menganiaya yang lain, maka perangilah yang menganiaya itu hingga ia kembali kepada perintah Allah. Jika ia kembali, maka berdamailah mereka dengan adil dan berlaku adillah. Sesungguhnya Allah menyukai orang-orang yang adil."
10," Sesungguhnya orang-orang mukmin itu bersaudara, maka selesaikanlah masalah di antara saudara-saudaramu dan bertakwalah kepada Allah, supaya kamu diberi rahmat."
11,"Hai orang-orang yang beriman, janganlah suatu kaum mengejek kaum yang lain, mungkin mereka lebih baik dari mereka; dan janganlah perempuan-perempuan mengejek perempuan-perempuan lain, mungkin mereka lebih baik dari mereka. Dan janganlah kamu saling menghina dan janganlah saling memanggil dengan sebutan-sebutan yang buruk. Seburuk-buruknya nama kefasikan setelah iman. Dan barangsiapa yang tidak bertobat, mereka itulah orang-orang yang zalim."
12,"Hai orang-orang yang beriman, jauhilah banyak prasangka, karena sebagian prasangka itu dosa. Dan janganlah kamu memata-matai dan janganlah kamu menggunjing satu sama lain. Apakah salah seorang di antara kamu ingin memakan daging saudaranya yang sudah mati? Tentu kamu tidak menyukainya. Dan bertakwalah kepada Allah; sesungguhnya Allah Maha Pengampun lagi Maha Penyayang."
13," Hai manusia, sesungguhnya Kami menciptakan kamu dari seorang laki-laki dan seorang perempuan dan menjadikan kamu berbangsa-bangsa dan bersuku-suku agar kamu saling kenal-mengenal. Sesungguhnya, orang yang paling mulia di antara kamu di sisi Allah adalah orang yang paling bertakwa di antara kamu. Sesungguhnya, Allah Maha Mengetahui lagi Maha Mengenal."
14,"۞ Orang-orang Arab di padang pasir berkata, ""Kami telah beriman."" Katakanlah, ""Kamu belum beriman, tetapi katakanlah, 'Kami telah berserah diri,' karena iman belum masuk ke dalam hatimu. Dan jika kamu menaati Allah dan Rasul-Nya, Dia tidak akan menghilangkan sedikit pun dari amalmu. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang."""
15," Sesungguhnya orang-orang yang beriman hanyalah mereka yang beriman kepada Allah dan Rasul-Nya, kemudian mereka tidak ragu-ragu dan berjuang dengan harta dan jiwa mereka di jalan Allah. Mereka itulah orang-orang yang benar."
16,"Katakanlah, ""Apakah kamu mengajarkan agamamu kepada Allah, padahal Allah mengetahui apa yang ada di langit dan apa yang ada di bumi? Dan Allah Maha Mengetahui segala sesuatu."""
17," Mereka berbuat baik kepadamu dengan menjadi Muslim. Katakanlah, ""Janganlah kamu berbuat baik kepadaku dengan keislamanmu. Akan tetapi, Allah telah memberikan kepadamu suatu kebaikan dengan memberi petunjuk kepada iman, jika kamu benar."""
18, Sesungguhnya Allah mengetahui apa yang gaib di langit dan di bumi. Dan Allah Maha Melihat apa yang kamu kerjakan.
