nomor_ayat,google_translate
1," Apa yang ada di langit dan apa yang ada di bumi bertasbih kepada Allah, Raja, Yang Maha Kudus, Yang Maha Perkasa, Yang Maha Bijaksana."
2," Dialah yang telah mengutus seorang Rasul dari kalangan orang-orang yang ummi dari kalangan mereka sendiri, yang membacakan ayat-ayat-Nya kepada mereka, menyucikan mereka dan mengajarkan mereka Kitab (Taurat) dan hikmah, meskipun sebelumnya mereka benar-benar dalam kesesatan yang nyata."
3, Dan belumlah ada yang menyusul mereka. Dan Dia Maha Perkasa lagi Maha Bijaksana.
4," Itulah karunia Allah. Dia memberikannya kepada siapa yang Dia kehendaki, dan Allah Maha Besar karunia-Nya."
5,"Perumpamaan orang-orang yang diberi amanah Taurat, lalu mereka tidak mengamalkannya, bagaikan keledai yang membawa kitab-kitab suci. Sungguh buruk perumpamaan orang-orang yang mengingkari ayat-ayat Allah. Dan Allah tidak memberi petunjuk kepada orang-orang yang zalim."
6," Katakanlah: ""Hai orang-orang Yahudi, jika kamu menganggap bahwa kamu adalah wali Allah, bukan manusia, maka harapkanlah kematianmu, jika kamu orang-orang yang benar."""
7," Dan mereka sekali-kali tidak akan menginginkannya, disebabkan apa yang telah diperbuat oleh tangan mereka sendiri. Dan Allah Maha Mengetahui tentang orang-orang yang zalim."
8,"Katakanlah, ""Sesungguhnya kematian yang kamu lari darinya, pasti akan menemuimu. Kemudian kamu akan dikembalikan kepada Yang Mengetahui akan yang ghaib dan yang nyata, lalu Dia beritakan kepadamu apa yang telah kamu kerjakan."""
9," Wahai orang-orang yang beriman, jika dikumandangkan azan pada hari Jumat, maka segeralah mengingat Allah dan tinggalkanlah jual beli. Yang demikian itu lebih baik bagimu, jika kamu mengetahui."
10," Maka apabila telah selesai shalat, berpencarlah kamu di muka bumi, dan carilah sebagian dari karunia Allah dan ingatlah Allah banyak-banyak, agar kamu beruntung."
11,"Dan ketika mereka melihat suatu transaksi atau hiburan, mereka pun berhamburan ke sana dan meninggalkanmu. Katakanlah, ""Apa yang ada di sisi Allah lebih baik daripada hiburan dan perdagangan. Dan Allah adalah sebaik-baik pemberi rezeki."""
