nomor_ayat,google_translate
1," Suatu surat yang telah Kami turunkan dan Kami wajibkan, dan Kami turunkan padanya ayat-ayat yang jelas, agar kamu mengambil pelajaran."
2," Pezina dan pezina, deralah masing-masing dari mereka seratus kali cambukan. Dan janganlah rasa kasihan kepada mereka menghalangi kamu dalam urusan agama Allah, jika kamu beriman kepada Allah dan Hari Akhir. Dan hendaklah sebagian dari orang-orang yang beriman menyaksikan azab mereka."
3," Pezina tidak menikahi siapa pun kecuali pezina atau musyrik, dan pezina tidak menikahi siapa pun kecuali pezina atau musyrik. Dan yang demikian itu telah diharamkan bagi orang-orang yang beriman."
4,"Dan orang-orang yang menuduh wanita-wanita yang baik-baik, kemudian tidak mendatangkan empat orang saksi, maka cambuklah mereka dengan delapan puluh kali cambukan, dan janganlah kamu terima kesaksian mereka untuk selama-lamanya. Dan mereka itulah orang-orang yang fasik."
5," Kecuali orang-orang yang bertaubat sesudah itu dan memperbaiki diri, maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang."
6," Dan orang-orang yang menuduh istri-istri mereka, padahal mereka tidak mempunyai saksi kecuali diri mereka sendiri. Maka kesaksian salah seorang di antara mereka adalah empat kesaksian dari sisi Allah, bahwa sesungguhnya dia termasuk orang-orang yang benar."
7,Dan yang kelima: Kutukan Allah atasnya jika dia termasuk orang-orang yang berdusta.
8," Dan mereka menangkal azab itu dengan memberi kesaksian empat kali atas nama Allah, bahwa sesungguhnya dia termasuk orang-orang yang berdusta."
9," Dan yang kelima, bahwasanya jika dia termasuk orang-orang yang benar, maka Allah akan murka kepadanya."
10," Dan seandainya tidak karena karunia Allah dan rahmat-Nya kepadamu, dan bahwasanya Allah Maha Pengampun lagi Maha Bijaksana,"
11,"Sesungguhnya orang-orang yang menyebarkan fitnah itu adalah dari golongan kalian. Janganlah kalian mengira fitnah itu buruk bagi kalian, bahkan fitnah itu baik bagi kalian. Karena setiap orang di antara mereka menanggung akibat dosanya. Dan orang di antara mereka yang menanggung sebagian besar dosanya akan mendapat azab yang besar."
12," Mengapakah orang-orang mukmin laki-laki dan perempuan ketika kamu mendengarnya tidak saling berprasangka baik dan berkata: ""Ini adalah kepalsuan yang nyata?"""
13," Mengapa mereka tidak menghadirkan empat orang saksi untuk melawannya? Tetapi jika mereka tidak menghadirkan saksi, maka merekalah orang-orang yang berdusta di sisi Allah."
14,"Dan kalau tidak karena karunia Allah dan rahmat-Nya kepadamu di dunia dan di akhirat, niscaya kamu ditimpa azab yang besar, disebabkan apa yang telah kamu kerjakan di dunia dan di akhirat."
15," (Ingatlah) ketika kamu menerimanya dengan lisanmu, dan kamu katakan dengan mulutmu apa yang tidak kamu ketahui sedikit pun tentangnya, dan kamu menganggapnya remeh, padahal ia adalah besar di sisi Allah."
16," Dan mengapa ketika kamu mendengarnya, kamu tidak berkata, ""Bukan hak kami untuk membicarakan hal ini. Maha Suci Engkau! Ini adalah fitnah yang besar."""
17," Allah memperingatkan kamu, agar kamu sekali-kali tidak kembali kepada keadaan seperti itu, jika kamu orang-orang yang beriman."
18,Dan Allah menjelaskan tanda-tanda kekuasaan-Nya kepadamu; dan Allah Maha Mengetahui lagi Maha Bijaksana.
19," Sesungguhnya orang-orang yang menyukai kemaksiatan itu, yang hendak disebarkan di antara orang-orang yang beriman, akan mendapat azab yang pedih di dunia dan akhirat. Dan Allah mengetahui, sedangkan kamu tidak mengetahui."
20," Dan sekiranya tidak karena karunia Allah dan rahmat-Nya kepadamu, dan bahwasanya Allah Maha Pemurah lagi Maha Penyayang,"
21,"۞ Hai orang-orang yang beriman, janganlah kamu mengikuti jejak setan. Dan barangsiapa mengikuti jejak setan, sesungguhnya ia menyuruh berbuat keji dan munkar. Dan seandainya bukan karena karunia dan rahmat Allah kepadamu, niscaya tidak seorang pun di antara kamu yang suci selama-lamanya. Tetapi Allah menyucikan siapa yang Dia kehendaki, dan Allah Maha Mendengar lagi Maha Mengetahui."
22,"Dan janganlah orang-orang yang dikaruniai karunia dan harta di antara kamu bersumpah untuk tidak memberi kepada kerabat, orang miskin, dan orang-orang yang berhijrah di jalan Allah. Hendaklah mereka memaafkan dan memaafkan. Tidakkah kamu ingin agar Allah mengampuni kamu? Dan Allah Maha Pengampun lagi Maha Penyayang."
23," Sesungguhnya orang-orang yang menuduh wanita-wanita yang baik-baik, yang tidak mengetahui lagi beriman, mereka dilaknat di dunia dan di akhirat dan bagi mereka azab yang besar."
24," (yaitu) pada hari (ketika) lidah, tangan dan kaki mereka menjadi saksi atas mereka terhadap apa yang telah mereka kerjakan."
25,"Pada hari itu Allah akan memberi mereka balasan yang sempurna atas pahala mereka, dan mereka mengetahui bahwa Allah, Dialah Maha Benar yang nyata."
26," Wanita jahat untuk pria jahat, dan pria jahat untuk wanita jahat. Wanita baik untuk pria baik, dan pria baik untuk wanita baik. Mereka bersih dari apa yang mereka ucapkan. Bagi mereka ampunan dan rezeki yang mulia."
27," Wahai orang-orang yang beriman, janganlah kamu memasuki rumah yang bukan rumahmu sendiri sebelum kamu meminta izin dan memberi salam kepada penghuninya. Yang demikian itu lebih baik bagimu agar kamu mendapat pelajaran."
28,"Tetapi jika kamu tidak menemukan seorang pun di dalamnya, maka janganlah kamu memasukinya sebelum kamu diizinkan. Dan jika dikatakan kepadamu, ""Kembalilah,"" maka kembalilah. Itu lebih suci bagimu. Dan Allah Maha Mengetahui apa yang kamu kerjakan."
29," Tidak ada dosa bagimu memasuki rumah-rumah yang tidak dihuni, yang di dalamnya terdapat rezeki bagimu. Dan Allah mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan."
30," Katakanlah kepada laki-laki yang beriman, hendaklah mereka mengurangi pandangan mereka dan menjaga kemaluan mereka. Yang demikian itu lebih suci bagi mereka. Sesungguhnya Allah Maha Mengetahui apa yang mereka kerjakan."
