nomor_ayat,google_translate
2, Kitab ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa.
3," Orang-orang yang beriman kepada yang gaib, mendirikan shalat, dan menafkahkan sebagian rezeki yang Kami berikan kepada mereka."
4," Dan orang-orang yang beriman kepada kitab yang diturunkan kepadamu dan kitab yang diturunkan sebelum kamu, dan kepada kehidupan akhirat, mereka adalah yakin."
5, Mereka itulah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung.
6," Sesungguhnya orang-orang kafir, sama saja bagi mereka, kamu beri peringatan atau tidak kamu beri peringatan, mereka tidak akan beriman."
7,"Allah telah mengunci hati dan pendengaran mereka, dan penglihatan mereka tertutup tirai. Dan bagi mereka azab yang besar."
8," Dan di antara manusia ada orang-orang yang mengatakan: ""Kami beriman kepada Allah dan hari kemudian"", padahal mereka bukanlah orang-orang yang beriman."
9," Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri mereka sendiri, sedang mereka tidak menyadari."
10," Dalam hati mereka ada penyakit, lalu ditambah Allah penyakit mereka dan bagi mereka azab yang pedih, disebabkan mereka selalu berdusta."
11," Dan apabila dikatakan kepada mereka: ""Janganlah kamu membuat kerusakan di muka bumi,"" mereka menjawab: ""Sesungguhnya kami hanyalah orang-orang yang melakukan perbaikan."""
12,"Sesungguhnya mereka itulah orang-orang yang berbuat kerusakan, tetapi mereka tidak menyadarinya."
13," Dan apabila dikatakan kepada mereka: ""Berimanlah kamu sebagaimana manusia telah beriman,"" mereka menjawab: ""Haruskah kami beriman sebagaimana orang-orang bodoh telah beriman?"" Sungguh, mereka itulah orang-orang yang bodoh, tetapi mereka tidak mengetahui."
14," Dan apabila mereka bertemu dengan orang-orang yang beriman, mereka berkata: ""Kami telah beriman."" Dan apabila mereka bersama-sama dengan orang-orang jahat mereka, mereka berkata: ""Sesungguhnya kami beserta kamu, sesungguhnya kami hanyalah orang-orang yang suka mempermainkan."""
15," Allah mengolok-olok mereka dan menunda-nunda pelanggaran mereka, sedangkan mereka tersesat dalam kegelapan."
16,"Mereka itulah orang-orang yang membeli kesesatan dengan imbalan petunjuk. Maka, jual beli mereka tidak mendatangkan keuntungan apa pun bagi mereka, dan mereka pun tidak mendapat petunjuk."
17," Perumpamaan mereka adalah seperti orang yang menyalakan api, maka setelah api itu menerangi sekelilingnya, Allah hilangkan cahaya mereka dan membiarkan mereka dalam kegelapan, sehingga mereka tidak dapat melihat."
18," Tuli, bisu, dan buta, jadi mereka tidak akan kembali."
19," Atau seperti hujan yang turun dari langit, yang di dalamnya gelap gulita, guntur, dan kilat. Mereka menutup telinga mereka dengan jari-jari mereka karena takut akan kematian. Dan Allah meliputi orang-orang kafir."
20,"Kilat itu hampir-hampir menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka, mereka berjalan di dalamnya, dan ketika kegelapan menyelimuti mereka, mereka berhenti. Dan seandainya Allah menghendaki, niscaya Dia mencabut pendengaran dan penglihatan mereka. Sesungguhnya Allah Maha Kuasa atas segala sesuatu."
