nomor_ayat,google_translate
1, Sesungguhnya Kami telah memberikan kemenangan yang nyata kepadamu.
2," Agar Allah mengampuni dosa-dosamu yang telah lalu dan yang akan datang, menyempurnakan nikmat-Nya kepadamu, dan memberi petunjuk kepadamu ke jalan yang lurus."
3, Dan Allah akan memberimu kemenangan besar.
4, Dialah yang telah menurunkan ketenangan ke dalam hati orang-orang mukmin agar iman mereka bertambah di samping iman mereka yang telah ada. Dan kepunyaan Allah-lah tentara langit dan bumi. Dan adalah Allah Maha Mengetahui lagi Maha Bijaksana.
5,"Agar Dia memasukkan orang-orang mukmin laki-laki dan perempuan ke dalam surga yang mengalir di bawahnya sungai-sungai, mereka kekal di dalamnya, dan menghapuskan dari mereka kesalahan-kesalahan mereka. Dan yang demikian itu merupakan kemenangan yang besar di sisi Allah."
6," Dan Dia menghukum orang-orang munafik laki-laki dan perempuan, dan orang-orang musyrik laki-laki dan perempuan, yang berpikiran jahat terhadap Allah. Atas mereka lingkaran kejahatan, dan Allah telah murka kepada mereka dan telah mengutuk mereka dan telah menyediakan neraka bagi mereka; itu adalah seburuk-buruk tempat kembali."
7, Kepunyaan Allah-lah para prajurit langit dan bumi. Dan Allah Maha Perkasa lagi Maha Bijaksana.
8,"Sesungguhnya Kami telah mengutus kamu sebagai saksi, pembawa berita gembira dan pemberi peringatan."
9," Agar kamu beriman kepada Allah dan Rasul-Nya, menolongnya, memuliakannya, dan mengagungkan-Nya, baik di waktu pagi maupun petang."
10," Sesungguhnya orang-orang yang berbaiat kepadamu, mereka hanyalah berbaiat kepada Allah. Tangan Allah berada di atas tangan mereka. Maka barangsiapa yang mengingkari janjinya, sesungguhnya ia mengingkarinya dengan merugikan dirinya sendiri. Dan barangsiapa yang memenuhi apa yang telah ia baiat kepada Allah, maka Allah akan memberinya pahala yang besar."
11,"Orang-orang Badui yang tertinggal akan berkata kepadamu, ""Harta dan keluarga kami telah menguasai kami, maka mohonkanlah ampunan bagi kami."" Mereka mengatakan dengan lisan mereka apa yang tidak ada dalam hati mereka. Katakanlah, ""Maka siapakah yang dapat melindungi kamu dari (azab) Allah, jika Dia menghendaki (mencelakakan) kamu atau menghendaki (memberi manfaat) kepadamu? Sesungguhnya Allah Maha Mengetahui apa yang kamu kerjakan."""
12," Tetapi kamu mengira bahwa Rasulullah dan orang-orang mukmin tidak akan pernah kembali kepada keluarga mereka. Dan yang demikian itu telah menyenangkan hatimu, dan kamu telah berprasangka buruk, dan kamu adalah kaum yang rusak."
13,"Dan barangsiapa yang tidak beriman kepada Allah dan Rasul-Nya, maka sesungguhnya Kami telah menyediakan bagi orang-orang kafir itu api yang menyala-nyala."
14, Kepunyaan Allah-lah kerajaan langit dan bumi. Dia mengampuni siapa yang Dia kehendaki dan menyiksa siapa yang Dia kehendaki. Dan Allah Maha Pengampun lagi Maha Penyayang.
15," Orang-orang yang tertinggal akan berkata, ketika kamu hendak mengambil rampasan perang, ""Tinggalkanlah kami, kami akan mengikutimu."" Mereka ingin mengubah firman Allah. Katakanlah, ""Kamu sekali-kali tidak akan mengikuti kami."" Demikianlah firman Allah sebelumnya. Maka mereka akan berkata, ""Sebenarnya, kamu dengki kepada kami."" Padahal, mereka tidak mengerti kecuali sedikit."
16,"Katakanlah kepada orang-orang Arab gurun yang tertinggal: Kalian akan dipanggil untuk berperang melawan suatu kaum yang sangat kuat. Kalian akan melawan mereka atau mereka akan tunduk. Jika kalian taat, Allah akan memberi kalian pahala yang baik. Tetapi jika kalian berpaling sebagaimana kalian berpaling sebelumnya, Allah akan menyiksa kalian dengan azab yang pedih."
17," Tidak ada dosa bagi orang buta, orang lumpuh, dan orang sakit. Barangsiapa yang menaati Allah dan Rasul-Nya, Allah akan memasukkannya ke dalam surga yang mengalir di bawahnya sungai-sungai. Barangsiapa yang berpaling, Allah akan menyiksanya dengan siksaan yang pedih."
18,"۞ Sungguh, Allah telah ridha kepada orang-orang mukmin ketika mereka berjanji setia kepadamu (Muhammad) di bawah pohon. Dan Dia mengetahui apa yang ada dalam hati mereka, maka Dia menurunkan ketenangan kepada mereka dan memberi mereka balasan dengan kemenangan yang dekat."
19, Dan mereka akan mengambil banyak harta rampasan. Dan Allah Maha Tinggi Perkasa dan Maha Bijaksana.
20," Allah telah menjanjikan kepadamu harta rampasan perang yang banyak, maka Dia telah menyegerakan (pemulihan) itu untukmu, dan Dia menahan tangan manusia dari padamu, agar harta rampasan perang itu menjadi tanda bagi orang-orang yang beriman dan memberi petunjuk kepadamu ke jalan yang lurus."
21,"Dan sebagian yang kamu tidak memiliki kekuasaan atasnya, Allah telah meliputinya. Dan Allah Maha Kuasa atas segala sesuatu."
22," Dan jika orang-orang kafir itu memerangi kamu, niscaya mereka akan berpaling ke belakang, dan mereka tidak akan mendapat pelindung dan penolong."
23, Jalan Allah yang telah berlaku sejak dahulu kala. Dan kamu sekali-kali tidak akan menemukan perubahan apa pun pada jalan Allah itu.
24, Dan Dialah yang menahan tangan mereka darimu dan tanganmu dari mereka di lembah Mekah setelah Dia memenangkanmu atas mereka. Dan Allah Maha Melihat apa yang kamu kerjakan.
25,"Merekalah orang-orang yang kafir dan menghalangi kamu dari Masjidil Haram, dan menghalangi petunjuk agar tidak sampai ke tujuannya. Seandainya tidak ada laki-laki dan perempuan yang beriman yang tidak kamu kenal, yang dapat kamu injak-injak dan kamu ditimpa kehinaan dari mereka tanpa pengetahuan, agar Allah memasukkan siapa yang Dia kehendaki ke dalam rahmat-Nya, jika mereka mau bertobat, niscaya Kami siksa orang-orang yang kafir di antara mereka dengan siksa yang pedih."
26,"Ketika orang-orang kafir menanamkan kefanatikan di dalam hati mereka—fanatisme jahiliyah—maka Allah menurunkan ketenangan-Nya kepada Rasul-Nya dan kepada orang-orang mukmin, dan mewajibkan kepada mereka kalimat kebenaran. Dan mereka lebih berhak menerimanya dan lebih berhak menerimanya. Dan Allah Maha Mengetahui segala sesuatu."
27," Allah telah benar-benar memenuhi visi Rasul-Nya. Sesungguhnya kamu akan memasuki Masjidil Haram, insya Allah, dengan aman, dengan mencukur habis rambut kepalamu atau mengguntingnya, tanpa rasa takut. Tetapi Dia mengetahui apa yang tidak kamu ketahui, dan Dia telah menetapkan, selain itu, kemenangan yang dekat."
28,Dialah yang telah mengutus Rasul-Nya dengan petunjuk dan agama yang benar untuk menegakkannya di atas segala agama. Dan cukuplah Allah sebagai saksi.
29,"Muhammad adalah utusan Allah. Dan orang-orang yang bersamanya adalah orang-orang yang keras terhadap orang-orang kafir, dan mereka saling berkasih sayang. Kamu melihat mereka ruku' dan sujud, mencari karunia dan keridhaan Allah. Bekas-bekas sujud mereka ada di wajah mereka. Itulah perumpamaan mereka dalam Taurat, dan perumpamaan mereka dalam Injil adalah seperti benih yang menumbuhkan tangkainya. Maka Allah menguatkannya, lalu ia menjadi kuat dan tegak berdiri di atas tangkainya, menyenangkan para penanam—agar Dia dapat membangkitkan murka orang-orang kafir karenanya. Allah telah menjanjikan kepada orang-orang yang beriman dan mengerjakan amal saleh di antara mereka ampunan dan pahala yang besar."
